Cons._sp.,Resource_sp.,Certainty level
Zooplankton,phytoplankton,3
Zooplankton,bacterioplankton,3
Zooplankton,Zooplankton,2
Wapkiids,phytoplankton,2
Wapkiids,bacterioplankton,2
Wapkiids,suspended organic matter,2
Leptomitids,phytoplankton,2
Leptomitids,bacterioplankton,2
Leptomitids,suspended organic matter,2
leptomitid A,phytoplankton,2
leptomitid A,bacterioplankton,2
leptomitid A,suspended organic matter,2
leptomitid B,phytoplankton,2
leptomitid B,bacterioplankton,2
leptomitid B,suspended organic matter,2
Choia sp.,phytoplankton,2
Choia sp.,bacterioplankton,2
Choia sp.,suspended organic matter,2
Choia sp. B,phytoplankton,2
Choia sp. B,bacterioplankton,2
Choia sp. B,suspended organic matter,2
Choiaella sp.,phytoplankton,2
Choiaella sp.,bacterioplankton,2
Choiaella sp.,suspended organic matter,2
Choiid A,phytoplankton,2
Choiid A,bacterioplankton,2
Choiid A,suspended organic matter,2
Choiid B,phytoplankton,2
Choiid B,bacterioplankton,2
Choiid B,suspended organic matter,2
Choiid C,phytoplankton,2
Choiid C,bacterioplankton,2
Choiid C,suspended organic matter,2
Choiid 2,phytoplankton,2
Choiid 2,bacterioplankton,2
Choiid 2,suspended organic matter,2
Hamptonia sp.,phytoplankton,2
Hamptonia sp.,bacterioplankton,2
Hamptonia sp.,suspended organic matter,2
Pirania auraeum,phytoplankton,2
Pirania auraeum,bacterioplankton,2
Pirania auraeum,suspended organic matter,2
Pellipirania gloria,phytoplankton,2
Pellipirania gloria,bacterioplankton,2
Pellipirania gloria,suspended organic matter,2
piraniid A,phytoplankton,2
piraniid A,bacterioplankton,2
piraniid A,suspended organic matter,2
Hamptonia' christi,phytoplankton,2
Hamptonia' christi,bacterioplankton,2
Hamptonia' christi,suspended organic matter,2
hazeliid,phytoplankton,2
hazeliid,bacterioplankton,2
hazeliid,suspended organic matter,2
Hexactinellids,phytoplankton,2
Hexactinellids,bacterioplankton,2
Hexactinellids,suspended organic matter,2
species ressembling Valospongia,phytoplankton,2
species ressembling Valospongia,bacterioplankton,2
species ressembling Valospongia,suspended organic matter,2
reticulosan A,phytoplankton,2
reticulosan A,bacterioplankton,2
reticulosan A,suspended organic matter,2
reticulosan B,phytoplankton,2
reticulosan B,bacterioplankton,2
reticulosan B,suspended organic matter,2
reticulosan C,phytoplankton,2
reticulosan C,bacterioplankton,2
reticulosan C,suspended organic matter,2
reticulosan D,phytoplankton,2
reticulosan D,bacterioplankton,2
reticulosan D,suspended organic matter,2
reticulosan E,phytoplankton,2
reticulosan E,bacterioplankton,2
reticulosan E,suspended organic matter,2
Archaeoconularia sp.,Zooplankton,2
Eoconularia sp.,Zooplankton,2
Sphenothallus sp. 1,Zooplankton,2
?Sphenothallus sp. 2,Zooplankton,2
Octocorallia?,Zooplankton,2
Ranorthis fasciata,phytoplankton,2
Ranorthis fasciata,suspended organic matter,1
undet. Athyridida,phytoplankton,2
undet. Athyridida,suspended organic matter,1
Acrothele sp.,phytoplankton,2
Acrothele sp.,suspended organic matter,1
Plectorthis simplex,phytoplankton,2
Plectorthis simplex,suspended organic matter,1
Angusticardinia sp.,phytoplankton,2
Angusticardinia sp.,suspended organic matter,1
Lingula salteri,phytoplankton,2
Lingula salteri,suspended organic matter,1
Orbithele vana,phytoplankton,2
Orbithele vana,suspended organic matter,1
Paurorthis tadristensis,phytoplankton,2
Paurorthis tadristensis,suspended organic matter,1
Tarfaya marocana,phytoplankton,2
Tarfaya marocana,suspended organic matter,1
Wosekella sp.,phytoplankton,2
Wosekella sp.,suspended organic matter,1
Monobolina sp.,phytoplankton,2
Monobolina sp.,suspended organic matter,1
Elliptoglossa sp.,phytoplankton,2
Elliptoglossa sp.,suspended organic matter,1
Celdobolus sp.,phytoplankton,2
Celdobolus sp.,suspended organic matter,1
Discinoidea?,phytoplankton,2
Discinoidea?,suspended organic matter,1
undet. Dalmanelloidea,phytoplankton,2
undet. Dalmanelloidea,suspended organic matter,1
Bryozoan,phytoplankton,2
Bryozoan,suspended organic matter,2
Bryozoan,Zooplankton,1
Babinka prima,phytoplankton,2
Babinka prima,bacterioplankton,2
Babinka prima,suspended organic matter,2
Babinka prima,Zooplankton,1
Ctenodonta escosurae,Benthic detritus,2
Praenucula sp.,Benthic detritus,2
Redonia michelae,phytoplankton,2
Redonia michelae,bacterioplankton,2
Redonia michelae,suspended organic matter,2
Redonia michelae,Zooplankton,1
Coxiconcha guirandi,phytoplankton,2
Coxiconcha guirandi,bacterioplankton,2
Coxiconcha guirandi,suspended organic matter,2
Coxiconcha guirandi,Zooplankton,1
Alococoncha?,Benthic detritus,2
Cardiolaria?,Benthic detritus,2
Cienagomya?,phytoplankton,2
Cienagomya?,bacterioplankton,2
Cienagomya?,suspended organic matter,2
Cienagomya?,Zooplankton,1
Ekaterodonta courtessolei,Benthic detritus,2
Glyptarca sp.,phytoplankton,2
Glyptarca sp.,bacterioplankton,2
Glyptarca sp.,suspended organic matter,2
Glyptarca sp.,Zooplankton,1
Pelecyogyra fezouataensis,Benthic detritus,1
Sinuites sp.,Benthic detritus,1
Lesueurilla prima,phytoplankton,2
Lesueurilla prima,suspended organic matter,2
undet. Platyceratoidea,Ranorthis fasciata,1
undet. Platyceratoidea,undet. Athyridida,1
undet. Platyceratoidea,Acrothele sp.,1
undet. Platyceratoidea,Plectorthis simplex,1
