#,PHYLUM,CLASS,ORDER,FAMILY,SPECIES,ECOLOGY,SOURCE,FORMATION,REMARKS,SYNONYMS,SIZE,,,,,,,,
1,Phytoplankton,,,,,,,,,,,,,,,,,,
2,Bacterioplankton,,,,species not included in feeding interactions,,,,,,,,,,,,,,
3,Suspended organic matter,,,,,,,,,,,,,,,,,,
4,Benthic detritus,,,,,,,,,,,,,,,,,,
5,Zooplancton,,,,,,,,,,,,,,,,,,
6,ALGAE,,,,Alga type 1,,"Van Roy et al., 2015",Lower part of the Fezouata Formation,,,,,,,,,,,
7,Algae,,,,Alga type2,,"Van Roy et al., 2015",,,,,,,,,,,,
8,Algae,,,,Chaetocladid,,"Van Roy et al., 2015",,,,,,,,,,,,
9,PORIFERA,Demospongea,Protomonaxonida,Choiidae,Choia sp.,"sessile, suspension feeder (demospongea)","Botting, 2016, Van Roy et al., 2015, Botting, 2007","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",Youngest occurrence,,40 mm,,,,,,,,
10,Porifera,Demospongea,Protomonaxonida,Choiidae,Choia sp. B,"sessile, suspension feeder (demospongea)","Botting, 2016",Lower part of the Fezouata Formation,,,,,,,,,,,
11,Porifera,Demospongea,Protomonaxonida,Choiidae,Choiaella sp.,"sessile, suspension feeder (demospongea)","Botting, 2016",Lower part of the Fezouata Formation,,,,,,,,,,,
12,Porifera,Demospongea,Protomonaxonida,Choiidae,Choiid A,"sessile, suspension feeder (demospongea)","Botting, 2016",Lower part of the Fezouata Formation,poorly known species,,,,,,,,,,
13,Porifera,Demospongea,Protomonaxonida,Choiidae,Choiid B,"sessile, suspension feeder (demospongea)","Botting, 2016",Lower part of the Fezouata Formation,,,"Yale Peabody Museum : Choiidae : 6 mm, ~50 mm?",,,,,,,,
14,Porifera,Demospongea,Protomonaxonida,Choiidae,Choiid C,"sessile, suspension feeder (demospongea)","Botting, 2016",Lower part of the Fezouata Formation,associated with dense layers of Araneograptus murrayi,,,,,,,,,,
15,Porifera,Demospongea,Protomonaxonida,Hamptoniidae,Hamptonia' christi,"sessile, suspension feeder (demospongea)","Van Roy et al., 2015, Botting, 2016, Botting, 2007",Upper part of the Fezouata Formation,"Youngest occurrence, needs to be redescribed with new genus, probably represents a range of species",,5 mm,,,,,,,,
16,Porifera,Demospongea,Protomonaxonida,Hamptoniidae,Hamptonia sp.,"sessile, suspension feeder (demospongea)","Botting, 2016",Lower part of the Fezouata Formation,partial specimen,,10 cm diameter (7-25 mm length),,,,,,,,
17,Porifera,Demospongea,Protomonaxonida,Leptomtidae,leptomitid A,"sessile, suspension feeder (demospongea)","Botting, 2016",Lower part of the Fezouata Formation,"complex, mutli-layered",,,,,,,,,,
18,Porifera,Demospongea,Protomonaxonida,Leptomtidae,leptomitid B,"sessile, suspension feeder (demospongea)","Botting, 2016",Lower part of the Fezouata Formation,simpler,,,,,,,,,,
19,Porifera,Demospongea,Protomonaxonida,Piraniidae,Pellipirania gloria,"sessile, suspension feeder (demospongea)","Botting et al., 2019",Lower part of the Fezouata Formation,,,"84 mm tall, 40 mm wide",,,,,,,,
20,Porifera,Demospongea,Protomonaxonida,Piraniidae,Pirania auraeum,"sessile, suspension feeder (demospongea)","Van Roy et al., 2015, Botting, 2016, Botting, 2007","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,"Auraeopirania auraeum (new genus name, Botting et al., 2019)",34 mm,,,,,,,,
21,Porifera,Demospongea,Protomonaxonida,Piraniidae,piraniid A,"sessile, suspension feeder (demospongea)","Botting, 2016",Lower part of the Fezouata Formation,poorly preserved,,,,,,,,,,
22,Porifera,Demospongea,Protomonaxonida,Undetermined,undetermined,"sessile, suspension feeder (demospongea)","Botting, 2016",,not in feeding list,,,,,,,,,,
23,Porifera,Demospongea,-,Hazeliidae,hazeliid,"sessile, suspension feeder (demospongea)","Botting, 2016",Lower part of the Fezouata Formation,one species,,,,,,,,,,
24,Porifera,Hexactinellida,Reticulosa,-,Hexactinellids,"sessile, suspension feeder","Van Roy et al., 2015",,,,~26 mm,,,,,,,,
25,Porifera,Hexactinellida,Reticulosa,-,reticulosan A,"sessile, suspension feeder","Botting, 2016",Lower part of the Fezouata Formation,,,,,,,,,,,
26,Porifera,Hexactinellida,Reticulosa,-,reticulosan B,"sessile, suspension feeder","Botting, 2016",Lower part of the Fezouata Formation,,,,,,,,,,,
27,Porifera,Hexactinellida,Reticulosa,-,reticulosan C,"sessile, suspension feeder","Botting, 2016",Lower part of the Fezouata Formation,,,,,,,,,,,
28,Porifera,Hexactinellida,Reticulosa,-,reticulosan D,"sessile, suspension feeder","Botting, 2016",Lower part of the Fezouata Formation,,,,,,,,,,,
29,Porifera,Hexactinellida,Reticulosa,-,reticulosan E,"sessile, suspension feeder","Botting, 2016",Lower part of the Fezouata Formation,,,,,,,,,,,
30,Porifera,Hexactinellida,Reticulosa,-,species ressembling Valospongia,"sessile, suspension feeder","Botting, 2016",Lower part of the Fezouata Formation,,,,,,,,,,,
31,Porifera,-,-,Wapkidae,Wapkiids,,"Van Roy et al., 2015",,,,,,,,,,,,
32,Porifera,-,monaxonid,,undetermined sponge A,,"Botting, 2016",,not in feeding list,,,,,,,,,,
33,Porifera,-,,,undetermined sponge B,,"Botting, 2016",,"not in feeding list, poorly preserved specimen, broadly annulated, thick-walled",,,,,,,,,,
34,Porifera,-,,,undetermined sponge C,,"Botting, 2016",Lower part of the Fezouata Formation because of S. murrayi ?,"not in feeding list, poorly preserved, in dense assemblage of A. murrayi",,,,,,,,,,
35,CNIDARIA,Hydrozoa ?,Hydroidea?,-,Webbyites felix,"benthic, filter-feeder","Maletz et al., 2025",Lower part of the Fezouata Formation,,"Plumalina-like form (Van Roy, 2015)",,,,,,,,,
36,Cnidaria,Medusozoa,,,Sphenothallus sp. 1,"sessile, benthic, poss. filter-feeder (Neal and Hannibal, 2000)","Van Iten et al., 2016, Van Roy et al., 2015",Lower part of the Fezouata Formation,,,15-60 mm,,,,,,,,
37,Cnidaria,Medusozoa,,,?Sphenothallus sp. 2,"sessile, benthic, poss. filter-feeder (Neal and Hannibal, 2000)","Van Iten et al., 2016",,,,,,,,,,,,
38,Cnidaria,Scyphozoa (Subphylum Medusozoa),,Conulariida,Archaeoconularia sp.,"sessile, benthic, filter-feeding","Van Iten et al., 2016, Lefebvre et al., 2016 (indet.), Van Roy et al., 2010 (various conulariids)","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",frequently occurs in monospecific mass associations (probable clumped distribution on the seafloor),,"100-200 mm, even 500 mm (some smaller)",,,,,,,,
39,Cnidaria,Scyphozoa (Subphylum Medusozoa),,Conulariida,Eoconularia sp.,"sessile, benthic (often attached to brachiopods?), filter-feeding","Van Iten et al., 2016, Lefebvre et al., 2016 (indet.), Van Roy et al., 2010 (various conulariids)",Lower part of the Fezouata Formation,frequently occurs in monospecific mass associations (probable clumped distribution on the seafloor),,<50 mm - 55 mm (generally smaller),,,,,,,,
40,HYOLITHA (LOPHOPHORATA),Hyolitha,Hyolithida,Hyolithidae,Cavernolites senex,"filter/suspension feeder (Sun et al, 2016 ; p. 94)","Marek, 1983",Upper part of the Fezouata Formation,,,"90mm long minimum, aperture width 24 mm",,,,,,,,
41,Hyolitha,Hyolitha,Hyolithida,Hyolithidae,Cavernolites n. sp.,filter/suspension feeder,"Marek, 1983",Lower part of the Fezouata Formation,,,"not mentioned, maybe similar to Cavernolites senex ?",,,,,,,,
42,Hyolitha,Hyolitha,Hyolithida,Hyolithidae,Elegantilites sp. A,filter/suspension feeder,"Marek, 1983",Lower part of the Fezouata Formation,,,"cardinal shield 1mm, shield length 4.5 mm, total length over 25 mm",,,,,,,,
43,Hyolitha,Hyolitha,Hyolithida,Hyolithidae,Gamalites? sp.,filter/suspension feeder,"Marek, 1983",Upper part of the Fezouata Formation,,,operculum 3.4 x 2.6 mm,,,,,,,,
