#,PHYLUM,CLASS,ORDER,FAMILY,SPECIES,ECOLOGY,SOURCE,FORMATION,REMARKS,SYNONYMS,SIZE,
1,Phytoplankton,,,,,,,,,,,
2,Bacterioplankton,,,,species not included in feeding interactions,,,,,,,
3,Suspended organic matter,,,,,,,,,,,
4,Benthic detritus,,,,,,,,,,,
5,Zooplancton,,,,,,,,,,,
6,ALGAE,,,,Alga type 1,,"Van Roy et al., 2015",Lower part of the Fezouata Formation,,,,
7,Algae,,,,Alga type2,,"Van Roy et al., 2015",,,,,
8,Algae,,,,Chaetocladid,,"Van Roy et al., 2015",,,,,
9,PORIFERA,Demospongea,Protomonaxonida,Choiidae,Choia sp.,"sessile, suspension feeder (demospongea)","Botting, 2016, Van Roy et al., 2015, Botting, 2007","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",Youngest occurrence,,40 mm,
15,Porifera,Demospongea,Protomonaxonida,Hamptoniidae,Hamptonia' christi,"sessile, suspension feeder (demospongea)","Van Roy et al., 2015, Botting, 2016, Botting, 2007",Upper part of the Fezouata Formation,"Youngest occurrence, needs to be redescribed with new genus, probably represents a range of species",,5 mm,
20,Porifera,Demospongea,Protomonaxonida,Piraniidae,Pirania auraeum,"sessile, suspension feeder (demospongea)","Van Roy et al., 2015, Botting, 2016, Botting, 2007","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,"Auraeopirania auraeum (new genus name, Botting et al., 2019)",34 mm,
38,CNIDARIA,Scyphozoa (Subphylum Medusozoa),,Conulariida,Archaeoconularia sp.,"sessile, benthic, filter-feeding","Van Iten et al., 2016, Lefebvre et al., 2016 (indet.), Van Roy et al., 2010 (various conulariids)","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",frequently occurs in monospecific mass associations (probable clumped distribution on the seafloor),,"100-200 mm, even 500 mm (some smaller)",
40,HYOLITHA (LOPHOPHORATA),Hyolitha,Hyolithida,Hyolithidae,Cavernolites senex,"filter/suspension feeder (Sun et al, 2016 ; p. 94)","Marek, 1983",Upper part of the Fezouata Formation,,,"90mm long minimum, aperture width 24 mm",
43,Hyolitha,Hyolitha,Hyolithida,Hyolithidae,Gamalites? sp.,filter/suspension feeder,"Marek, 1983",Upper part of the Fezouata Formation,,,operculum 3.4 x 2.6 mm,
44,Hyolitha,Hyolitha,Hyolithida,Hyolithidae,Gompholites sp. A,filter/suspension feeder,"Marek, 1983",Upper part of the Fezouata Formation,,,"14 mm long minimum-20/26.4mm/30-40mm (other species), width aperture 3.5mm (other species Gompholites cf. cinctus)",
45,Hyolitha,Hyolitha,Hyolithida,Pauxillitidae,Pauxillites thaddei,suspension feeder,"Valent et al., 2013 ; Valent et Corbacho, 2015",Upper part of the Fezouata Formation,,,20-23 mm long,
46,Hyolitha,Hyolitha,Orthothecida,Orthothecidae,Nephrotheca? n. sp.,deposit feeder,"Marek, 1983",Upper part of the Fezouata Formation,,,over 10 mm (undet. Hyolithida - ~10mm-30mm (L+U)-63mm (U)),
47,BRACHIOPODA,Lingulata,Acrotretida,Acrotretidae,Eurytreta sp.,suspension feeder,"Candela et al., 2024",Upper part of the Fezouata Formation,,,1-2 mm,
49,Brachiopoda ,Lingulata,Lingulida,Acrothelidae,Orbithele sp. 1,suspension feeder,"Candela et al., 2024",Upper part of the Fezouata Formation,,,20 mm,
50,Brachiopoda ,Lingulata,Lingulida,Acrothelidae,Orbithele sp. 2,suspension feeder,"Candela et al., 2024",Upper part of the Fezouata Formation,,,9 mm,
54,Brachiopoda ,Lingulata,Lingulida,Obolidae,Paldiskites aff. sulcatus,suspension feeder,"Candela et al., 2024",Upper part of the Fezouata Formation,,,6-7 mm,
55,Brachiopoda ,Lingulata,Lingulida,Obolidae,Rafanoglossa inversa,suspension feeder,"Candela et al., 2024","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation ",,,8-11 mm,
60,Brachiopoda ,Lingulata,Lingulida,Zhanatellidae,Thysanotos cf. siluricus,suspension feeder,"Candela et al., 2024","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,25-34 mm,
61,Brachiopoda ,Lingulata,Siphonotretida,Siphonotretidae,Celdobolus mirandus,"sessile, suspension feeder ","Candela et al., 2024","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",uncertain phylogeny,,4 mm,
66,Brachiopoda ,Rhynchonellata,Orthida,Euorthisinidae,Euorthisina sp. 2,suspension feeder,"Candela et al., 2024",Upper part of the Fezouata Formation,,,13-16 mm,
69,Brachiopoda ,Rhynchonellata,Orthida,Nanorthidae,Nothorthis sp.,suspension feeder,"Candela et al., 2024","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,6-19 mm,
70,Brachiopoda ,Rhynchonellata,Orthida,Orthidae,Paralenorthis? sp.,suspension feeder,"Candela et al., 2024",Upper part of the Fezouata Formation,,,3-4 mm,
71,Brachiopoda ,Rhynchonellata,Orthida,Plectorthidae,Nanorthis sp.,suspension feeder,"Candela et al., 2024","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,10-13 mm,
72,Brachiopoda,Rhynchonellata,Orthida,Plectorthidae,Plectorthis? cf. simplex,"sessile, suspension feeder ","Havlí?ek, 1971 ; Candela et al., 2024","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,8-9 mm,
73,Brachiopoda,Rhynchonellata,Orthida,Paurorthidae,Paurorthis tadristensis,"sessile, suspension feeder ","Havlí?ek, 1971 ; Lefebvre et al., 2016",Upper part of the Fezouata Formation,,Paurothis (spelling mistake ?),,
74,Brachiopoda ,Rhynchonellata,Orthida,Ranorthidae,Tinzoulinorthis fasciata,suspension feeder,"Havlí?ek, 1971 ; Candela et al., 2024","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Ranorthis fasciata,2-5mm,
76,Brachiopoda,Rhynchonellata,Orthida,Tarfayidae,Tarfaya marocana,"sessile, suspension feeder ","Havlí?ek, 1971 ; Candela et al., 2024 ; Lefebvre et al, 2016",Upper part of the Fezouata Formation,,,10-17 mm,
78,BRYOZOA,,Cystosporata,,ceramoporoid bryozoan,"encrusting shells of cephalophod Rioceras?, filter/suspension feeder","Kröger & Lefebvre, 2012",Upper part of the Fezouata Formation,,,,
79,Bryozoa,-,-,-,bryozoan,filter/suspension feeder (Bryozoa),"Van Roy et al., 2015",Upper part of the Fezouata Formation,,,,
81,MOLLUSCA,"Bivalvia, Heteroconchia",Actinodontida,Intihuarellidae,Cienagomya? sp.,infaunal filter feeder,"Polechová, 2016",Upper part of the Fezouata Formation,,,2-9 mm ?? (Cienagomya bidentata),
82,Mollusca,"Bivalvia, Heteroconchia",Actinodontida,Redoniidae,Redonia michelae,"infaunal filter feeder, epibenthic","Babin & Destombes, 1990 ; Polechová, 2016, Lefebvre et al., 2016, Van Roy et al., 2015","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,4.2 mm à 17.5 mm ?,
83,Mollusca,"Bivalvia, Heteroconchia",Lucinida,Babinkidae,Babinka prima,"mobile, infaunal suspension-feeder, rapid burrower, mining-feeder, maybe chemosymbiosis (?)(like other lucinidae?)","Babin & Destombes, 1990 ; Polechová, 2016, Lefebvre et al., 2016, Van Roy et al., 2015","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation","som, phytoplankton, based on other lucinidae",Anuscula ?,24 mm,
84,Mollusca,"Bivalvia, Heteroconchia",Lucinida,Coxiconchiidae,Coxiconchia guiraudi,"rapid burrower, infaunal filter-feeder","Polechová, 2016, Van Roy et al., 2015",Upper part of the Fezouata Formation,,Coxiconcha,5mm (Coxiconchia babini),
85,Mollusca,"Bivalvia, Protobranchia",Afghanodesmatida,Tironuculidae,Ekaterodonta courtessolei,"deposit feeder, burrower","Polechová, 2016",Upper part of the Fezouata Formation,,,5.5 mm (juvenile),
86,Mollusca,"Bivalvia, Protobranchia",Nuculida,Praenuculidae,Cardiolaria? sp.,infaunal deposit feeder,"Polechová, 2016",Upper part of the Fezouata Formation,,,10-20 mm ???,
87,Mollusca,"Bivalvia, Protobranchia",Nuculida,Praenuculidae,Praenucula sp.,"infaunal deposit feeder (Praenculidae), facultatively mobile","Babin & Destombes, 1990 ; Polechová, 2016, Lefebvre et al., 2016",Upper part of the Fezouata Formation,,,~15 mm ?,
88,Mollusca,"Bivalvia, Protobranchia",Solemyida,Ctenodontidae,Alococoncha?,infaunal deposit feeder,"Polechová, 2016",Upper part of the Fezouata Formation,,Aloconcha,???,
89,Mollusca,"Bivalvia, Pteriomorpha",Arcida,Glyptarcidae,Glyptarca sp.,infaunal filter feeder,"Polechová, 2016",Upper part of the Fezouata Formation,,,9 mm,
90,Mollusca,Cephalopoda,Discosorida,Apocrinoceratidae,Destombesiceras zagorense,"actively mobile, carnivore (Cephalopoda), nektobenthic","Kröger and Lefebvre, 2012",Upper part of the Fezouata Formation,exogastrically curved shell,,16 mm diameter,
91,Mollusca,Cephalopoda,Dissidocerida,Polymeridae,Polymeres sp.,"fast-moving, carnivore (Cephalopoda)","Kröger and Lefebvre, 2012","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,26 mm diameter,
