#,PHYLUM,CLASS,ORDER,FAMILY,SPECIES,ECOLOGY,REFERENCES,FORMATION,REMARKS,SYNONYMS,SIZE,,,,,,,,
1,Phytoplankton,,,,,,,,,,,,,,,,,,
2,Bacterioplankton,,,,species not included in feeding interactions,,,,,,,,,,,,,,
3,Suspended organic matter,,,,,,,,,,,,,,,,,,
4,Benthic detritus,,,,,,,,,,,,,,,,,,
5,Zooplancton,,,,,,,,,,,,,,,,,,
6,ALGAE,,,,Alga type 1,,[S1],Lower part of the Fezouata Formation,,,,,,,,,,,
7,Algae,,,,Alga type2,,[S1],,,,,,,,,,,,
8,Algae,,,,Chaetocladid,,[S1],,,,,,,,,,,,
9,PORIFERA,Demospongea,Protomonaxonida,Choiidae,Choia sp.,"sessile, suspension feeder (demospongea)",[S1-S3],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",Youngest occurrence,,40 mm,,,,,,,,
10,Porifera,Demospongea,Protomonaxonida,Choiidae,Choia sp. B,"sessile, suspension feeder (demospongea)",[S2],Lower part of the Fezouata Formation,,,,,,,,,,,
11,Porifera,Demospongea,Protomonaxonida,Choiidae,Choiaella sp.,"sessile, suspension feeder (demospongea)",[S2],Lower part of the Fezouata Formation,,,,,,,,,,,
12,Porifera,Demospongea,Protomonaxonida,Choiidae,Choiid A,"sessile, suspension feeder (demospongea)",[S2],Lower part of the Fezouata Formation,poorly known species,,,,,,,,,,
13,Porifera,Demospongea,Protomonaxonida,Choiidae,Choiid B,"sessile, suspension feeder (demospongea)",[S2],Lower part of the Fezouata Formation,,,"Yale Peabody Museum : Choiidae : 6 mm, ~50 mm?",,,,,,,,
14,Porifera,Demospongea,Protomonaxonida,Choiidae,Choiid C,"sessile, suspension feeder (demospongea)",[S2],Lower part of the Fezouata Formation,associated with dense layers of Araneograptus murrayi,,,,,,,,,,
15,Porifera,Demospongea,Protomonaxonida,Hamptoniidae,Hamptonia' christi,"sessile, suspension feeder (demospongea)",[S1-S3],Upper part of the Fezouata Formation,"Youngest occurrence, needs to be redescribed with new genus, probably represents a range of species",,5 mm,,,,,,,,
16,Porifera,Demospongea,Protomonaxonida,Hamptoniidae,Hamptonia sp.,"sessile, suspension feeder (demospongea)",[S2],Lower part of the Fezouata Formation,partial specimen,,10 cm diameter (7-25 mm length),,,,,,,,
17,Porifera,Demospongea,Protomonaxonida,Leptomtidae,leptomitid A,"sessile, suspension feeder (demospongea)",[S2],Lower part of the Fezouata Formation,"complex, mutli-layered",,,,,,,,,,
18,Porifera,Demospongea,Protomonaxonida,Leptomtidae,leptomitid B,"sessile, suspension feeder (demospongea)",[S2],Lower part of the Fezouata Formation,simpler,,,,,,,,,,
19,Porifera,Demospongea,Protomonaxonida,Piraniidae,Pellipirania gloria,"sessile, suspension feeder (demospongea)",[S4],Lower part of the Fezouata Formation,,,"84 mm tall, 40 mm wide",,,,,,,,
