#,PHYLUM,CLASS,ORDER,FAMILY,SPECIES,ECOLOGY,REFERENCES,FORMATION,REMARKS,SYNONYMS,SIZE,
1,Phytoplankton,,,,,,,,,,,
2,Bacterioplankton,,,,species not included in feeding interactions,,,,,,,
3,Suspended organic matter,,,,,,,,,,,
4,Benthic detritus,,,,,,,,,,,
5,Zooplancton,,,,,,,,,,,
6,ALGAE,,,,Alga type 1,,[S1],Lower part of the Fezouata Formation,,,,
7,Algae,,,,Alga type2,,[S1],,,,,
8,Algae,,,,Chaetocladid,,[S1],,,,,
9,PORIFERA,Demospongea,Protomonaxonida,Choiidae,Choia sp.,"sessile, suspension feeder (demospongea)",[S1-3],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",Youngest occurrence,,40 mm,
15,Porifera,Demospongea,Protomonaxonida,Hamptoniidae,Hamptonia' christi,"sessile, suspension feeder (demospongea)",[S1-3],Upper part of the Fezouata Formation,"Youngest occurrence, needs to be redescribed with new genus, probably represents a range of species",,5 mm,
20,Porifera,Demospongea,Protomonaxonida,Piraniidae,Pirania auraeum,"sessile, suspension feeder (demospongea)",[S1-3],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Auraeopirania auraeum (new genus name [S4]),34 mm,
38,CNIDARIA,Scyphozoa (Subphylum Medusozoa),,Conulariida,Archaeoconularia sp.,"sessile, benthic, filter-feeding",[S6-S8],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",frequently occurs in monospecific mass associations (probable clumped distribution on the seafloor),,"100-200 mm, even 500 mm (some smaller)",
40,HYOLITHA (LOPHOPHORATA),Hyolitha,Hyolithida,Hyolithidae,Cavernolites senex,filter/suspension feeder [S9],[S10],Upper part of the Fezouata Formation,,,"90mm long minimum, aperture width 24 mm",
43,Hyolitha,Hyolitha,Hyolithida,Hyolithidae,Gamalites? sp.,filter/suspension feeder,[S10],Upper part of the Fezouata Formation,,,operculum 3.4 x 2.6 mm,
44,Hyolitha,Hyolitha,Hyolithida,Hyolithidae,Gompholites sp. A,filter/suspension feeder,[S10],Upper part of the Fezouata Formation,,,"14 mm long minimum-20/26.4mm/30-40mm (other species), width aperture 3.5mm (other species Gompholites cf. cinctus)",
45,Hyolitha,Hyolitha,Hyolithida,Pauxillitidae,Pauxillites thaddei,suspension feeder,"[S11, S12]",Upper part of the Fezouata Formation,,,20-23 mm long,
46,Hyolitha,Hyolitha,Orthothecida,Orthothecidae,Nephrotheca? n. sp.,deposit feeder,[S10],Upper part of the Fezouata Formation,,,over 10 mm (undet. Hyolithida - ~10mm-30mm (L+U)-63mm (U)),
47,BRACHIOPODA,Lingulata,Acrotretida,Acrotretidae,Eurytreta sp.,suspension feeder,[S13],Upper part of the Fezouata Formation,,,1-2 mm,
49,Brachiopoda ,Lingulata,Lingulida,Acrothelidae,Orbithele sp. 1,suspension feeder,[S13],Upper part of the Fezouata Formation,,,20 mm,
50,Brachiopoda ,Lingulata,Lingulida,Acrothelidae,Orbithele sp. 2,suspension feeder,[S13],Upper part of the Fezouata Formation,,,9 mm,
54,Brachiopoda ,Lingulata,Lingulida,Obolidae,Paldiskites aff. sulcatus,suspension feeder,[S13],Upper part of the Fezouata Formation,,,6-7 mm,
55,Brachiopoda ,Lingulata,Lingulida,Obolidae,Rafanoglossa inversa,suspension feeder,[S13],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation ",,,8-11 mm,
60,Brachiopoda ,Lingulata,Lingulida,Zhanatellidae,Thysanotos cf. siluricus,suspension feeder,[S13],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,25-34 mm,
61,Brachiopoda ,Lingulata,Siphonotretida,Siphonotretidae,Celdobolus mirandus,"sessile, suspension feeder ",[S13],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",uncertain phylogeny,,4 mm,
66,Brachiopoda ,Rhynchonellata,Orthida,Euorthisinidae,Euorthisina sp. 2,suspension feeder,[S13],Upper part of the Fezouata Formation,,,13-16 mm,
69,Brachiopoda ,Rhynchonellata,Orthida,Nanorthidae,Nothorthis sp.,suspension feeder,[S13],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,6-19 mm,
70,Brachiopoda ,Rhynchonellata,Orthida,Orthidae,Paralenorthis? sp.,suspension feeder,[S13],Upper part of the Fezouata Formation,,,3-4 mm,
71,Brachiopoda ,Rhynchonellata,Orthida,Plectorthidae,Nanorthis sp.,suspension feeder,[S13],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,10-13 mm,
72,Brachiopoda,Rhynchonellata,Orthida,Plectorthidae,Plectorthis? cf. simplex,"sessile, suspension feeder ","[S13, S14]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,8-9 mm,
73,Brachiopoda,Rhynchonellata,Orthida,Paurorthidae,Paurorthis tadristensis,"sessile, suspension feeder ","[S7, S14]",Upper part of the Fezouata Formation,,Paurothis (spelling mistake ?),,
74,Brachiopoda ,Rhynchonellata,Orthida,Ranorthidae,Tinzoulinorthis fasciata,suspension feeder,"[S13, S14]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Ranorthis fasciata,2-5mm,
76,Brachiopoda,Rhynchonellata,Orthida,Tarfayidae,Tarfaya marocana,"sessile, suspension feeder ","[S7, S13, S14]",Upper part of the Fezouata Formation,,,10-17 mm,
78,BRYOZOA,,Cystosporata,,ceramoporoid bryozoan,"encrusting shells of cephalophod Rioceras?, filter/suspension feeder",[S15],Upper part of the Fezouata Formation,,,,
79,Bryozoa,-,-,-,bryozoan,filter/suspension feeder (Bryozoa),[S1],Upper part of the Fezouata Formation,,,,
81,MOLLUSCA,"Bivalvia, Heteroconchia",Actinodontida,Intihuarellidae,Cienagomya? sp.,infaunal filter feeder,[S18],Upper part of the Fezouata Formation,,,2-9 mm ?? (Cienagomya bidentata),
82,Mollusca,"Bivalvia, Heteroconchia",Actinodontida,Redoniidae,Redonia michelae,"infaunal filter feeder, epibenthic","[S1, S7, S18, S19]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,4.2 mm à 17.5 mm ?,
83,Mollusca,"Bivalvia, Heteroconchia",Lucinida,Babinkidae,Babinka prima,"mobile, infaunal suspension-feeder, rapid burrower, mining-feeder, maybe chemosymbiosis (?)(like other lucinidae?)","[S1, S7, S18, S19]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation","som, phytoplankton, based on other lucinidae",Anuscula ?,24 mm,
84,Mollusca,"Bivalvia, Heteroconchia",Lucinida,Coxiconchiidae,Coxiconchia guiraudi,"rapid burrower, infaunal filter-feeder","[S1, S18]",Upper part of the Fezouata Formation,,Coxiconcha,5mm (Coxiconchia babini),
85,Mollusca,"Bivalvia, Protobranchia",Afghanodesmatida,Tironuculidae,Ekaterodonta courtessolei,"deposit feeder, burrower",[S18],Upper part of the Fezouata Formation,,,5.5 mm (juvenile),
86,Mollusca,"Bivalvia, Protobranchia",Nuculida,Praenuculidae,Cardiolaria? sp.,infaunal deposit feeder,[S18],Upper part of the Fezouata Formation,,,10-20 mm ???,
87,Mollusca,"Bivalvia, Protobranchia",Nuculida,Praenuculidae,Praenucula sp.,"infaunal deposit feeder (Praenculidae), facultatively mobile","[S7, S18, S19]",Upper part of the Fezouata Formation,,,~15 mm ?,
