#,PHYLUM,CLASS,ORDER,FAMILY,SPECIES,ECOLOGY,REFERENCES,FORMATION,REMARKS,SYNONYMS,SIZE,
1,Phytoplankton,,,,,,,,,,,
2,Bacterioplankton,,,,species not included in feeding interactions,,,,,,,
3,Suspended organic matter,,,,,,,,,,,
4,Benthic detritus,,,,,,,,,,,
5,Zooplancton,,,,,,,,,,,
9,PORIFERA,Demospongea,Protomonaxonida,Choiidae,Choia sp.,"sessile, suspension feeder (demospongea)",[S1-S3],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",Youngest occurrence,,40 mm,
20,Porifera,Demospongea,Protomonaxonida,Piraniidae,Pirania auraeum,"sessile, suspension feeder (demospongea)",[S1-3],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Auraeopirania auraeum (new genus name [S4]),34 mm,
38,CNIDARIA,Scyphozoa (Subphylum Medusozoa),,Conulariida,Archaeoconularia sp.,"sessile, benthic, filter-feeding",[S6-S8],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",frequently occurs in monospecific mass associations (probable clumped distribution on the seafloor),,"100-200 mm, even 500 mm (some smaller)",
55,BRACHIOPODA,Lingulata,Lingulida,Obolidae,Rafanoglossa inversa,suspension feeder,[S13],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation ",,,8-11 mm,
60,Brachiopoda ,Lingulata,Lingulida,Zhanatellidae,Thysanotos cf. siluricus,suspension feeder,[S13],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,25-34 mm,
61,Brachiopoda ,Lingulata,Siphonotretida,Siphonotretidae,Celdobolus mirandus,"sessile, suspension feeder ",[S13],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",uncertain phylogeny,,4 mm,
69,Brachiopoda ,Rhynchonellata,Orthida,Nanorthidae,Nothorthis sp.,suspension feeder,[S13],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,6-19 mm,
71,Brachiopoda ,Rhynchonellata,Orthida,Plectorthidae,Nanorthis sp.,suspension feeder,[S13],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,10-13 mm,
72,Brachiopoda,Rhynchonellata,Orthida,Plectorthidae,Plectorthis? cf. simplex,"sessile, suspension feeder ","[S7, S14]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,8-9 mm,
74,Brachiopoda ,Rhynchonellata,Orthida,Ranorthidae,Tinzoulinorthis fasciata,suspension feeder,"[S13, S14]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Ranorthis fasciata,2-5mm,
82,MOLLUSCA,"Bivalvia, Heteroconchia",Actinodontida,Redoniidae,Redonia michelae,"infaunal filter feeder, epibenthic","[S1, S7, S18, S19]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,4.2 mm à 17.5 mm ?,
83,Mollusca,"Bivalvia, Heteroconchia",Lucinida,Babinkidae,Babinka prima,"mobile, infaunal suspension-feeder, rapid burrower, mining-feeder, maybe chemosymbiosis (?)(like other lucinidae?)","[S1, S7, S18, S19]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation","som, phytoplankton, based on other lucinidae",Anuscula ?,24 mm,
91,Mollusca,Cephalopoda,Dissidocerida,Polymeridae,Polymeres sp.,"fast-moving, carnivore (Cephalopoda)",[S15],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,26 mm diameter,
102,Mollusca,Tergomya,Cyrtonellida,Carcassonnellidae,Carcassonnella sp.,deposit feeder,"[S1, S20]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,2 mm ?? ,
130,ARTHROPODA,Artiopoda ,-,-,Cheloniellid,"epibenthic, predator (xiphosuran-like gnathobases for masticating food) or scavenger on or a bit in the substrate (a bit like xiphosurans) [S43] predator, scavenger, eats small mobile invertebrates [S44].",[S1],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",Earliest occurrence,,12 -25 mm,
