#,PHYLUM,CLASS,ORDER,FAMILY,SPECIES,ECOLOGY,REFERENCES,FORMATION,REMARKS,SYNONYMS,SIZE,
1,Phytoplankton,,,,,,,,,,,
2,Bacterioplankton,,,,,,,,,,,
3,Suspended organic matter,,,,,,,,,,,
4,Benthic detritus,,,,,,,,,,,
5,Zooplancton,,,,,,,,,,,
6,ALGAE,,,,Alga type 1,,[S1],Lower part of the Fezouata Formation,,,,
9,PORIFERA,Demospongea,Protomonaxonida,Choiidae,Choia sp.,"sessile, suspension feeder (demospongea)",[S1-3],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",Youngest occurrence,,40 mm,
10,Porifera,Demospongea,Protomonaxonida,Choiidae,Choia sp. B,"sessile, suspension feeder (demospongea)",[S2],Lower part of the Fezouata Formation,,,,
11,Porifera,Demospongea,Protomonaxonida,Choiidae,Choiaella sp.,"sessile, suspension feeder (demospongea)",[S2],Lower part of the Fezouata Formation,,,,
12,Porifera,Demospongea,Protomonaxonida,Choiidae,Choiid A,"sessile, suspension feeder (demospongea)",[S2],Lower part of the Fezouata Formation,poorly known species,,,
13,Porifera,Demospongea,Protomonaxonida,Choiidae,Choiid B,"sessile, suspension feeder (demospongea)",[S2],Lower part of the Fezouata Formation,,,"Yale Peabody Museum : Choiidae : 6 mm, ~50 mm?",
14,Porifera,Demospongea,Protomonaxonida,Choiidae,Choiid C,"sessile, suspension feeder (demospongea)",[S2],Lower part of the Fezouata Formation,associated with dense layers of Araneograptus murrayi,,,
16,Porifera,Demospongea,Protomonaxonida,Hamptoniidae,Hamptonia sp.,"sessile, suspension feeder (demospongea)",[S2],Lower part of the Fezouata Formation,partial specimen,,10 cm diameter (7-25 mm length),
17,Porifera,Demospongea,Protomonaxonida,Leptomtidae,leptomitid A,"sessile, suspension feeder (demospongea)",[S2],Lower part of the Fezouata Formation,"complex, mutli-layered",,,
18,Porifera,Demospongea,Protomonaxonida,Leptomtidae,leptomitid B,"sessile, suspension feeder (demospongea)",[S2],Lower part of the Fezouata Formation,simpler,,,
19,Porifera,Demospongea,Protomonaxonida,Piraniidae,Pellipirania gloria,"sessile, suspension feeder (demospongea)",[S4],Lower part of the Fezouata Formation,,,"84 mm tall, 40 mm wide",
20,Porifera,Demospongea,Protomonaxonida,Piraniidae,Pirania auraeum,"sessile, suspension feeder (demospongea)",[S1-3],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Auraeopirania auraeum (new genus name [S4]),34 mm,
21,Porifera,Demospongea,Protomonaxonida,Piraniidae,piraniid A,"sessile, suspension feeder (demospongea)",[S2],Lower part of the Fezouata Formation,poorly preserved,,,
23,Porifera,Demospongea,-,Hazeliidae,hazeliid,"sessile, suspension feeder (demospongea)",[S2],Lower part of the Fezouata Formation,one species,,,
25,Porifera,Hexactinellida,Reticulosa,-,reticulosan A,"sessile, suspension feeder",[S2],Lower part of the Fezouata Formation,,,,
26,Porifera,Hexactinellida,Reticulosa,-,reticulosan B,"sessile, suspension feeder",[S2],Lower part of the Fezouata Formation,,,,
27,Porifera,Hexactinellida,Reticulosa,-,reticulosan C,"sessile, suspension feeder",[S2],Lower part of the Fezouata Formation,,,,
28,Porifera,Hexactinellida,Reticulosa,-,reticulosan D,"sessile, suspension feeder",[S2],Lower part of the Fezouata Formation,,,,
29,Porifera,Hexactinellida,Reticulosa,-,reticulosan E,"sessile, suspension feeder",[S2],Lower part of the Fezouata Formation,,,,
30,Porifera,Hexactinellida,Reticulosa,-,species ressembling Valospongia,"sessile, suspension feeder",[S2],Lower part of the Fezouata Formation,,,,
35,CNIDARIA,Hydrozoa ?,Hydroidea?,-,Webbyites felix,"benthic, filter-feeder",[S5],Lower part of the Fezouata Formation,,Plumalina-like form [S1],,
36,Cnidaria,Medusozoa,,,Sphenothallus sp. 1,"sessile, benthic, poss. filter-feeder [S130]","[S1, S6]",Lower part of the Fezouata Formation,,,15-60 mm,
38,Cnidaria,Scyphozoa (Subphylum Medusozoa),,Conulariida,Archaeoconularia sp.,"sessile, benthic, filter-feeding",[S6-S8],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",frequently occurs in monospecific mass associations (probable clumped distribution on the seafloor),,"100-200 mm, even 500 mm (some smaller)",
39,Cnidaria,Scyphozoa (Subphylum Medusozoa),,Conulariida,Eoconularia sp.,"sessile, benthic (often attached to brachiopods?), filter-feeding",[S6-S8],Lower part of the Fezouata Formation,frequently occurs in monospecific mass associations (probable clumped distribution on the seafloor),,<50 mm - 55 mm (generally smaller),
41,HYOLITHA (LOPHOPHORATA),Hyolitha,Hyolithida,Hyolithidae,Cavernolites n. sp.,filter/suspension feeder,[S10],Lower part of the Fezouata Formation,,,"not mentioned, maybe similar to Cavernolites senex ?",
42,Hyolitha,Hyolitha,Hyolithida,Hyolithidae,Elegantilites sp. A,filter/suspension feeder,[S10],Lower part of the Fezouata Formation,,,"cardinal shield 1mm, shield length 4.5 mm, total length over 25 mm",
48,BRACHIOPODA,Lingulata,Lingulida,Acrothelidae,Orbithele tazagurta,suspension feeder,[S13],Lower part of the Fezouata Formation,,,5 mm,
51,Brachiopoda ,Lingulata,Lingulida,Obolidae,Glossella sp.,suspension feeder,[S13],Lower part of the Fezouata Formation,,,11 mm,
52,Brachiopoda ,Lingulata,Lingulida,Obolidae,Lingulella lata?,suspension feeder,[S13],Lower part of the Fezouata Formation,,,5-7 mm,
53,Brachiopoda ,Lingulata,Lingulida,Obolidae,Obolidae indet.,suspension feeder,[S13],Lower part of the Fezouata Formation,,,3 mm,
55,Brachiopoda ,Lingulata,Lingulida,Obolidae,Rafanoglossa inversa,suspension feeder,[S13],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation ",,,8-11 mm,
56,Brachiopoda ,Lingulata,Lingulida,Obolidae,Spondyglossella? sp.,suspension feeder,[S13],Lower part of the Fezouata Formation,,,6-13 mm,
57,Brachiopoda ,Lingulata,Lingulida,Obolidae,Wosekella filiola,suspension feeder,[S13],Lower part of the Fezouata Formation,,,5-13 mm,
58,Brachiopoda,Lingulata,Lingulida,Obolidae,Wosekella maghribi ,endobenthic (ordovician Wosekella) or semi-infaunal suspension feeder (Cambrian Wosekella),[S13],Lower part of the Fezouata Formation,uncertain phylogeny,,"~ 10 mm ??, 7-8mm",
59,Brachiopoda ,Lingulata,Lingulida,Pseudolingulidae,Sedlecilingula sp.,suspension feeder,[S13],Lower part of the Fezouata Formation,,,17-25 mm,
60,Brachiopoda ,Lingulata,Lingulida,Zhanatellidae,Thysanotos cf. siluricus,suspension feeder,[S13],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,25-34 mm,
61,Brachiopoda ,Lingulata,Siphonotretida,Siphonotretidae,Celdobolus mirandus,"sessile, suspension feeder ",[S13],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",uncertain phylogeny,,4 mm,
62,Brachiopoda ,Paterinata,Paterinida,Paterinidae,Lacunites punctum,suspension feeder,[S13],Lower part of the Fezouata Formation,,,10-13 mm,
63,Brachiopoda,Rhynchonellata,Orthida,Angusticardiniidae,Angusticardinia sp.,"sessile, suspension feeder ","[S7, S13, S14]",Lower part of the Fezouata Formation,,,4 mm,
64,Brachiopoda ,Rhynchonellata,Orthida,Draboviidae,Nocturnellia sp.,suspension feeder,[S13],Lower part of the Fezouata Formation,,,3-6 mm,
65,Brachiopoda ,Rhynchonellata,Orthida,Euorthisinidae,Euorthisina sp. 1,suspension feeder,[S13],Lower part of the Fezouata Formation,,,5 mm,
67,Brachiopoda ,Rhynchonellata,Orthida,Giraldiellidae,Kvania sp.,suspension feeder,[S13],Lower part of the Fezouata Formation,,,9 mm,
68,Brachiopoda ,Rhynchonellata,Orthida,Heterorthidae,Incorthis sp.,suspension feeder,[S13],Lower part of the Fezouata Formation,,,8 mm,
69,Brachiopoda ,Rhynchonellata,Orthida,Nanorthidae,Nothorthis sp.,suspension feeder,[S13],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,6-19 mm,
