CONSUMER;RESOURCE
bacterioplankton;
phytoplankton;
detritus;
SOM;
zooplankton;phytoplankton
zooplankton;bacterioplankton
Quasiaulacera occidua;bacterioplankton
Ecclimadictyon sp.;bacterioplankton
Labyrinthodictyon angulosum;bacterioplankton
Quasiaulacera occidua;SOM
Ecclimadictyon sp.;SOM
Labyrinthodictyon angulosum;SOM
Quasiaulacera occidua;phytoplankton
Ecclimadictyon sp.;phytoplankton
Labyrinthodictyon angulosum;phytoplankton
Palaeophyllum sp.;zooplankton
Aulopora sp.;zooplankton
Favosites sp.;zooplankton
Palaeofavosites sp.;zooplankton
Acidolites sp.;zooplankton
Halysites sp.;zooplankton
Heliolites sp.;zooplankton
Propora conferta;zooplankton
Calapoecia anticostiensis;zooplankton
Cyathophyllum sp.;zooplankton
Palaeophyllum sp.;bacterioplankton
Aulopora sp.;bacterioplankton
Favosites sp.;bacterioplankton
Palaeofavosites sp.;bacterioplankton
Acidolites sp.;bacterioplankton
Halysites sp.;bacterioplankton
Heliolites sp.;bacterioplankton
Propora conferta;bacterioplankton
Calapoecia anticostiensis;bacterioplankton
Cyathophyllum sp.;bacterioplankton
Palaeophyllum sp.;SOM
Aulopora sp.;SOM
Favosites sp.;SOM
Palaeofavosites sp.;SOM
Acidolites sp.;SOM
Halysites sp.;SOM
Heliolites sp.;SOM
Propora conferta;SOM
Calapoecia anticostiensis;SOM
Cyathophyllum sp.;SOM
Aulopora sp.;phytoplankton
Favosites sp.;phytoplankton
Palaeofavosites sp.;phytoplankton
Acidolites sp.;phytoplankton
Halysites sp.;phytoplankton
Heliolites sp.;phytoplankton
Glauconome strigosa;phytoplankton
Helopora sp.;phytoplankton
Nematopora lineata;phytoplankton
Dicranopora fragilis;phytoplankton
Phaenopora sp.;phytoplankton
Ptilodictya canadensis;phytoplankton
Pachydictya sp.;phytoplankton
Lichenalia utricula;phytoplankton
Stomatopora sp.;phytoplankton
Ceramopora sp.;phytoplankton
Chasmatopora angulata;phytoplankton
Cyphotrypa bulbosa;phytoplankton
Dianulites sp.;phytoplankton
Hallopora sp.;phytoplankton
Aspidopora siluriana;phytoplankton
Atactoporella spicata;phytoplankton
Nicholsonella parvula;phytoplankton
Corynotrypa sp.;phytoplankton
Allonema sp.;phytoplankton
Glauconome strigosa;SOM
Helopora sp.;SOM
Nematopora lineata;SOM
Dicranopora fragilis;SOM
Phaenopora sp.;SOM
Ptilodictya canadensis;SOM
Pachydictya sp.;SOM
Lichenalia utricula;SOM
Stomatopora sp.;SOM
Ceramopora sp.;SOM
Chasmatopora angulata;SOM
Cyphotrypa bulbosa;SOM
Dianulites sp.;SOM
Hallopora sp.;SOM
Aspidopora siluriana;SOM
Atactoporella spicata;SOM
Nicholsonella parvula;SOM
Corynotrypa sp.;SOM
Allonema sp.;SOM
Cuneamya anticostiana;phytoplankton
Vanuxemia sp.;phytoplankton
Byssonychia anticostiana;phytoplankton
Cleionychia superba;phytoplankton
Pterinea sp.;phytoplankton
Rhytimya sp.;phytoplankton
Ctenodonta sp.;phytoplankton
Cuneamya anticostiana;SOM
Vanuxemia sp.;SOM
Byssonychia anticostiana;SOM
Cleionychia superba;SOM
Pterinea sp.;SOM
Rhytimya sp.;detritus
Ctenodonta sp.;detritus
Rectograptus abbreviatus;phytoplankton
Normalograptus sp.;phytoplankton
Rectograptus abbreviatus;SOM
Normalograptus sp.;SOM
Aechmina sp.;detritus
Baltonotella sp.;detritus
Dicranella sp.;detritus
Jonesites sp.;detritus
Cryptophyllus sp.;detritus
Eurychilina sp.;detritus
Anticostiella sp.;detritus
Schmidtella sp.;detritus
Faurella sp.;detritus
Spinigerites sp.;detritus
Foramenella sp.;detritus
Tetradella sp.;detritus
Tvaerenella sp.;detritus
Eographiodactylus sp.;detritus
Steusloffina cuneata;detritus
Elliptocyprites sp.;detritus
Krausella sp.;detritus
Longiscula sp.;detritus
Aviacypris sp.;detritus
Macrocyproides sp.;detritus
Microcheilinella sp.;detritus
Rectella sp.;detritus
Medianella sp.;detritus
Leperditella sp.;detritus
Eokloedenella sp.;detritus
Leperditella sp.;phytoplankton
Eokloedenella sp.;phytoplankton
Dicranella sp.;bacterioplankton
Spinigerites sp.;bacterioplankton
Aviacypris sp.;bacterioplankton
Macrocyproides sp.;bacterioplankton
Microcheilinella sp.;bacterioplankton
Rectella sp.;bacterioplankton
Medianella sp.;bacterioplankton
Leperditella sp.;bacterioplankton
Eokloedenella sp.;bacterioplankton
Furcitella nodosa;phytoplankton
Mjoesina ceres;phytoplankton
Coolinia sp.;phytoplankton
Archeochonetes sp.;phytoplankton
Strophomena sp.;phytoplankton
Megamyonia nitens;phytoplankton
Eostrophonella semiovalis;phytoplankton
Hindella sp.;phytoplankton
Eospirigerina sp.;phytoplankton
Becscia sp.;phytoplankton
Dalmanella sp.;phytoplankton
Leptaena sp.;phytoplankton
Onniella tricapitata;phytoplankton
Hirnantia sagittifera;phytoplankton
Oanduporella ruida;phytoplankton
Barbarorthis laurentina;phytoplankton
Hesperorthis sp.;phytoplankton
Ptychopleurella lamellosa;phytoplankton
Hebertella maria;phytoplankton
Plaesiomys sp.;phytoplankton
Retrorsirostra carleyi;phytoplankton
Gnamptorhynchos globatum;phytoplankton
Siljanostrophia camerata;phytoplankton
Vinlandostrophia regularis;phytoplankton
Mendacella sp.;phytoplankton
Parastrophinella sp.;phytoplankton
Gnamptorhynchos sp.;phytoplankton
Orthorhynchyllion prinstanum;phytoplankton
Hypsiptycha anticostiensis;phytoplankton
Rhynchotrema sp.;phytoplankton
Rostricellula transversa;phytoplankton
Furcitella nodosa;SOM
Mjoesina ceres;SOM
Coolinia sp.;SOM
Archeochonetes sp.;SOM
Strophomena sp.;SOM
Megamyonia nitens;SOM
Eostrophonella semiovalis;SOM
Hindella sp.;SOM
Eospirigerina sp.;SOM
Becscia sp.;SOM
Dalmanella sp.;SOM
Leptaena sp.;SOM
Onniella tricapitata;SOM
Hirnantia sagittifera;SOM
Oanduporella ruida;SOM
Barbarorthis laurentina;SOM
Hesperorthis sp.;SOM
Ptychopleurella lamellosa;SOM
Hebertella maria;SOM
Plaesiomys sp.;SOM
Retrorsirostra carleyi;SOM
Gnamptorhynchos globatum;SOM
Siljanostrophia camerata;SOM
Vinlandostrophia regularis;SOM
