Cons. sp.; Resource sp.
phytoplankton;
bacterioplankton;
som;
detritus;
Solenopora ouareauensis;som
Aulacera undulata;som
Quasiaulacera occidua;som
Forolinia laminaris;som
Pachystylostroma contractum;som
Tarphystroma tuberosum ;som
Ecclimadictyon anticostiense;som
Camptodictyon penefastigiatum;som
Desmidodictyon exoticum;som
Clathrodictyon boreale;som
Labyrinthodictyon angulosum ;som
Oslodictyon chicum;som
Petridiostroma incrustatum;som
Intexodictyon laurenticum;som
Desmostroma chutense;som
Pachystroma brickense;som
Aulopora sp.;phytoplankton
Aulopora sp.;bacterioplankton
Subalveolites sp.;phytoplankton
Subalveolites sp.;bacterioplankton
Favosites favosus;phytoplankton
Favosites favosus;bacterioplankton
Palaeofavosites aspera;phytoplankton
Palaeofavosites aspera;bacterioplankton
Acidolites sp.;phytoplankton
Acidolites sp.;bacterioplankton
Acanthohalysites encrustans ;phytoplankton
Acanthohalysites encrustans ;bacterioplankton
Catenipora micropora;phytoplankton
Catenipora micropora;bacterioplankton
Halysites labyrinthica ;phytoplankton
Halysites labyrinthica ;bacterioplankton
Heliolites subtubulatus;phytoplankton
Heliolites subtubulatus;bacterioplankton
Propora conferta;phytoplankton
Propora conferta;bacterioplankton
Pseudoplasmopora follis;phytoplankton
Pseudoplasmopora follis;bacterioplankton
Calapoecia anticostiensis ;phytoplankton
Calapoecia anticostiensis ;bacterioplankton
Conophyllum niagarense;phytoplankton
Conophyllum niagarense;bacterioplankton
Cormorantia tumida;phytoplankton
Cormorantia tumida;bacterioplankton
Cystiphyllum scalenum;phytoplankton
Cystiphyllum scalenum;bacterioplankton
Rhabdocyclus pauciseptatus ;phytoplankton
Rhabdocyclus pauciseptatus ;bacterioplankton
Cantrillia smithi;phytoplankton
Arachnophyllum pentagonum ;bacterioplankton
Arachnophyllum pentagonum ;phytoplankton
Cyathophyllum anticostiense;bacterioplankton
Cyathophyllum anticostiense;phytoplankton
Petrozium pelagicum;bacterioplankton
Petrozium pelagicum;phytoplankton
Prodarwinia speciosa;bacterioplankton
Prodarwinia speciosa;phytoplankton
Palaearaea orientalis;bacterioplankton
Palaearaea orientalis;phytoplankton
Kodonophyllum boltoni;bacterioplankton
Kodonophyllum boltoni;phytoplankton
Schlotheimophyllum canadense;bacterioplankton
Schlotheimophyllum canadense;phytoplankton
Donacophyllum chicottense;phytoplankton
Donacophyllum chicottense;bacterioplankton
Strombodes socialis;phytoplankton
Strombodes socialis;bacterioplankton
Phaulactis billingsi ;phytoplankton
Phaulactis billingsi ;bacterioplankton
Cladopaliphyllum impensum;phytoplankton
Cladopaliphyllum impensum;bacterioplankton
Cyathactis pumila;phytoplankton
Cyathactis pumila;bacterioplankton
Cyathophyllum wahlenbergi;phytoplankton
Cyathophyllum wahlenbergi;phytoplankton
Strephophyllum parvulum;bacterioplankton
Strephophyllum parvulum;phytoplankton
Cyathophylloidea lyterion;bacterioplankton
Cyathophylloidea lyterion;phytoplankton
Nanophyllum pelagicum;bacterioplankton
Nanophyllum pelagicum;phytoplankton
Palaeophyllum conjunctum;bacterioplankton
Palaeophyllum conjunctum;phytoplankton
Bighornia patella;bacterioplankton
Bighornia patella;phytoplankton
Bodophyllum englishheadense;bacterioplankton
Bodophyllum englishheadense;phytoplankton
Brachyelasma girinense;bacterioplankton
Brachyelasma girinense;phytoplankton
Crassilasma lambei;bacterioplankton
Crassilasma lambei;phytoplankton
Deiracorallium angulatum angulatum;bacterioplankton
Deiracorallium angulatum angulatum;phytoplankton
Dinophyllum stocksi;bacterioplankton
Dinophyllum stocksi;phytoplankton
Eurogrewingkia pulchella;bacterioplankton
Eurogrewingkia pulchella;phytoplankton
Fengganophyllum richardsoni;bacterioplankton
Fengganophyllum richardsoni;phytoplankton
Helicelasma amplum;bacterioplankton
Helicelasma amplum;phytoplankton
Lobocorallium trilobatum vaurealensis;bacterioplankton
Lobocorallium trilobatum vaurealensis;phytoplankton
Pseudophaulactis merrimackensis;phytoplankton
Pseudophaulactis merrimackensis;bacterioplankton
Salvadorea selecta;phytoplankton
Salvadorea selecta;bacterioplankton
Streptelasma anticostiensis;phytoplankton
Streptelasma anticostiensis;bacterioplankton
Rhegmaphyllum daytonense;phytoplankton
Rhegmaphyllum daytonense;bacterioplankton
Chaloupella pygmaea;phytoplankton
Chaloupella pygmaea;bacterioplankton
Conularia asperata;phytoplankton
Conularia asperata;bacterioplankton
Ascodictyon siluriense;phytoplankton
Ascodictyon siluriense;bacterioplankton
Vinella multiradiata;phytoplankton
Vinella multiradiata;bacterioplankton
Arthroclema angulare;phytoplankton
Arthroclema angulare;bacterioplankton
Glauconome strigosa;phytoplankton
Glauconome strigosa;bacterioplankton
Helopora armata;phytoplankton
Helopora armata;bacterioplankton
Nematopora lineata;phytoplankton
Nematopora lineata;bacterioplankton
Sceptropora facula;phytoplankton
Sceptropora facula;bacterioplankton
Dicranopora fragilis;phytoplankton
Dicranopora fragilis;bacterioplankton
Phaenopora twenhofeli;phytoplankton
Phaenopora twenhofeli;bacterioplankton
Ptilodictya canadensis;phytoplankton
Ptilodictya canadensis;bacterioplankton
Goniotrypa bilateralis;phytoplankton
Goniotrypa bilateralis;bacterioplankton
Pachydictya crassa;phytoplankton
Pachydictya crassa;bacterioplankton
Stictopora lebanonensis;phytoplankton
Stictopora lebanonensis;bacterioplankton
Lichenalia utricula;phytoplankton
Lichenalia utricula;bacterioplankton
Stictoporella sp.;phytoplankton
Stictoporella sp.;bacterioplankton
Dilaminocladia natiscotecensis;phytoplankton
Dilaminocladia natiscotecensis;bacterioplankton
Parachasmatopora porkunensis;phytoplankton
Parachasmatopora porkunensis;bacterioplankton
Diploclema sparsum;phytoplankton
Diploclema sparsum;bacterioplankton
Mitoclema minutum;phytoplankton
Mitoclema minutum;bacterioplankton
Protocrisina exigua;phytoplankton
Protocrisina exigua;bacterioplankton
Stomatopora siluriana;phytoplankton
Stomatopora siluriana;bacterioplankton
Natiscotecella tenuis;phytoplankton
Natiscotecella tenuis;bacterioplankton
Acanthoceramoporella spinigera;phytoplankton
Acanthoceramoporella spinigera;bacterioplankton
Ceramopora clara;phytoplankton
Ceramopora clara;bacterioplankton
Chilotrypa circe;phytoplankton
Chilotrypa circe;bacterioplankton
Chasmatopora angulata;phytoplankton
Chasmatopora angulata;bacterioplankton
Semicoscinium prestiosum;phytoplankton
Semicoscinium prestiosum;bacterioplankton
Fenestella bella;phytoplankton
Fenestella bella;bacterioplankton
Thamniscus striatopora;phytoplankton
Thamniscus striatopora;bacterioplankton
Cyphotrypa bulbosa;phytoplankton
Cyphotrypa bulbosa;bacterioplankton
Bythopora striata;phytoplankton
Bythopora striata;bacterioplankton
Lioclemella nitida;phytoplankton
Lioclemella nitida;bacterioplankton
Dianulites globularis;phytoplankton
Dianulites globularis;bacterioplankton
Calloporella sp.;phytoplankton
Calloporella sp.;bacterioplankton
Hallopora elegantula;phytoplankton
Hallopora elegantula;bacterioplankton
Leptotrypa crassa;phytoplankton
Leptotrypa crassa;bacterioplankton
Lioclemella sp.;phytoplankton
Lioclemella sp.;bacterioplankton
Aspidopora siluriana;phytoplankton
Aspidopora siluriana;bacterioplankton
Atactoporella spicata ;phytoplankton
Atactoporella spicata ;bacterioplankton
Batostoma billingsi ;phytoplankton
Batostoma billingsi ;bacterioplankton
Homotrypa anticostiensis;phytoplankton
Homotrypa anticostiensis;bacterioplankton
Nicholsonella parvula;phytoplankton
Nicholsonella parvula;bacterioplankton
Prasopora canadensis;phytoplankton
Prasopora canadensis;bacterioplankton
Revalotrypa honguedensis;phytoplankton
Revalotrypa honguedensis;bacterioplankton
Eridotrypa simulatrix;phytoplankton
Eridotrypa simulatrix;bacterioplankton
Trematopora irregularis;phytoplankton
Trematopora irregularis;bacterioplankton
Corynotrypa dissimilis;phytoplankton
Corynotrypa dissimilis;bacterioplankton
Allonema curtum;phytoplankton
Allonema curtum;bacterioplankton
Phacelopora pertenuis;phytoplankton
Phacelopora pertenuis;bacterioplankton
Leptobolus insignis;som
Lingulasma canadense;som
