Consumer troph. sp.;Resource troph. sp.
7;1
7;2
7;7
8;2
9;7
10;7
10;9
11;3
11;7
12;5
12;6
12;7
13;4
14;4
15;2
15;4
15;6
16;7
17;8
18;7
19;4
20;4
20;11
20;12
20;13
20;14
20;18
20;38
20;39
20;42
20;44
20;48
21;11
21;12
21;13
21;14
21;18
21;38
21;39
21;42
21;44
21;48
22;4
23;7
24;1
24;4
24;7
25;4
26;11
26;13
26;14
26;17
26;18
26;25
26;39
26;40
26;41
26;42
26;48
27;11
27;12
27;13
27;14
27;18
27;19
27;20
27;21
27;22
27;23
27;25
27;26
27;27
27;28
27;29
27;30
27;31
27;32
27;33
27;35
27;38
27;39
27;42
27;43
27;44
27;48
28;11
28;12
28;13
28;14
28;18
28;19
28;20
28;21
28;22
28;23
28;25
28;26
28;27
28;28
28;29
28;30
28;31
28;32
28;33
28;35
28;38
28;39
28;42
28;43
29;11
29;12
29;13
29;14
29;18
29;38
29;39
29;42
29;44
29;48
30;13
30;14
30;17
30;18
30;25
30;39
30;40
30;41
30;42
30;48
31;13
31;14
31;17
31;18
31;25
31;39
31;40
31;41
31;42
31;48
32;1
32;3
32;7
33;14
33;17
33;18
33;25
33;39
33;40
33;41
33;42
33;48
34;19
34;20
34;21
34;22
34;23
34;25
34;26
34;27
34;28
34;29
34;30
34;31
34;32
34;33
34;35
34;36
35;7
35;19
35;20
35;24
35;26
35;29
35;31
36;7
36;19
36;20
36;24
36;26
36;29
36;31
37;11
37;13
37;14
37;18
37;38
37;39
37;40
37;41
37;42
37;44
37;48
38;11
38;12
38;13
38;14
38;18
38;38
38;39
38;42
38;44
38;48
39;3
40;11
40;12
40;13
40;14
40;18
40;38
40;39
40;42
40;44
40;48
41;11
41;12
41;13
41;14
41;18
41;38
41;39
41;42
41;44
41;48
42;11
42;12
42;13
42;14
42;18
42;38
42;39
42;42
42;44
42;48
43;7
44;7
45;1
45;7
46;3
46;7
47;11
47;13
47;14
47;18
47;38
47;39
47;40
47;44
47;48
48;7
