Consumer troph. sp.;Resource troph. sp.
5;1
5;2
6;2
7;5
8;5
8;7
8;8
9;3
9;5
10;3
10;5
11;2
11;3
12;6
13;6
13;30
14;30
15;5
16;4
17;15
17;16
17;17
17;19
17;20
17;21
17;23
18;4
19;15
19;16
19;19
19;21
19;22
19;24
20;15
20;16
20;17
20;19
20;20
20;21
20;23
20;25
21;15
21;16
21;17
21;19
21;20
21;21
21;23
21;25
22;15
22;16
22;17
22;19
22;20
22;21
22;23
22;25
23;9
23;15
23;16
23;17
23;19
23;20
23;21
23;23
23;25
24;4
25;15
25;16
25;19
25;21
25;22
25;24
26;15
26;16
26;17
26;19
26;20
26;21
26;23
26;27
27;15
27;16
27;17
27;19
27;20
27;21
27;23
27;27
28;4
29;9
29;10
29;28
29;29
30;5
31;5
32;3
32;5
33;2
