Cons._sp.,Resource_sp.,Certainty level
Zooplankton,phytoplankton,3
Zooplankton,bacterioplankton,3
Zooplankton,Zooplankton,2
leptomitid A,phytoplankton,2
leptomitid A,bacterioplankton,2
leptomitid A,suspended organic matter,2
leptomitid B,phytoplankton,2
leptomitid B,bacterioplankton,2
leptomitid B,suspended organic matter,2
Choia sp.,phytoplankton,2
Choia sp.,bacterioplankton,2
Choia sp.,suspended organic matter,2
Choia sp. B,phytoplankton,2
Choia sp. B,bacterioplankton,2
Choia sp. B,suspended organic matter,2
Choiaella sp.,phytoplankton,2
Choiaella sp.,bacterioplankton,2
Choiaella sp.,suspended organic matter,2
Choiid A,phytoplankton,2
Choiid A,bacterioplankton,2
Choiid A,suspended organic matter,2
Choiid B,phytoplankton,2
Choiid B,bacterioplankton,2
Choiid B,suspended organic matter,2
Choiid C,phytoplankton,2
Choiid C,bacterioplankton,2
Choiid C,suspended organic matter,2
Hamptonia sp.,phytoplankton,2
Hamptonia sp.,bacterioplankton,2
Hamptonia sp.,suspended organic matter,2
Pirania auraeum,phytoplankton,2
Pirania auraeum,bacterioplankton,2
Pirania auraeum,suspended organic matter,2
Pellipirania gloria,phytoplankton,2
Pellipirania gloria,bacterioplankton,2
Pellipirania gloria,suspended organic matter,2
piraniid A,phytoplankton,2
piraniid A,bacterioplankton,2
piraniid A,suspended organic matter,2
hazeliid,phytoplankton,2
hazeliid,bacterioplankton,2
hazeliid,suspended organic matter,2
species ressembling Valospongia,phytoplankton,2
species ressembling Valospongia,bacterioplankton,2
species ressembling Valospongia,suspended organic matter,2
reticulosan A,phytoplankton,2
reticulosan A,bacterioplankton,2
reticulosan A,suspended organic matter,2
reticulosan B,phytoplankton,2
reticulosan B,bacterioplankton,2
reticulosan B,suspended organic matter,2
reticulosan C,phytoplankton,2
reticulosan C,bacterioplankton,2
reticulosan C,suspended organic matter,2
reticulosan D,phytoplankton,2
reticulosan D,bacterioplankton,2
reticulosan D,suspended organic matter,2
reticulosan E,phytoplankton,2
reticulosan E,bacterioplankton,2
reticulosan E,suspended organic matter,2
Archaeoconularia sp.,Zooplankton,2
Eoconularia sp.,Zooplankton,2
Sphenothallus sp. 1,Zooplankton,2
Webbyites felix,Zooplankton,2
Webbyites felix,phytoplankton,2
Plectorthis simplex,phytoplankton,2
Plectorthis simplex,suspended organic matter,1
Angusticardinia sp.,phytoplankton,2
Angusticardinia sp.,suspended organic matter,1
Tarfaya sp.,phytoplankton,2
Tarfaya sp.,suspended organic matter,1
Wosekella maghribi  ,phytoplankton,2
Wosekella maghribi  ,suspended organic matter,1
Wosekella filiola,phytoplankton,2
Wosekella filiola,suspended organic matter,1
Celdobolus mirandus,phytoplankton,2
Celdobolus mirandus,suspended organic matter,1
Sedlecilingula sp.,phytoplankton,2
Sedlecilingula sp.,suspended organic matter,1
Lingulella lata?,phytoplankton,2
Lingulella lata?,suspended organic matter,1
Glossella sp.,phytoplankton,2
Glossella sp.,suspended organic matter,1
Rafanoglossa inversa,phytoplankton,2
Rafanoglossa inversa,suspended organic matter,1
Spondyglossella? sp.,phytoplankton,2
Spondyglossella? sp.,suspended organic matter,1
Obolidae indet.,phytoplankton,2
Obolidae indet.,suspended organic matter,1
Thysanatos cf. siluricus,phytoplankton,2
Thysanatos cf. siluricus,suspended organic matter,1
Orbithele tazagurta,phytoplankton,2
Orbithele tazagurta,suspended organic matter,1
Lacunites punctum,phytoplankton,2
Lacunites punctum,suspended organic matter,1
Nothorthis sp.,phytoplankton,2
Nothorthis sp.,suspended organic matter,1
Nanorthis sp.,phytoplankton,2
Nanorthis sp.,suspended organic matter,1
Euorthisina sp. 1,phytoplankton,2
Euorthisina sp. 1,suspended organic matter,1
Kvania sp.,phytoplankton,2
Kvania sp.,suspended organic matter,1
Tinzoulinorthis fasciata,phytoplankton,2
Tinzoulinorthis fasciata,suspended organic matter,1
Tinzoulinorthis? sp.,phytoplankton,2
Tinzoulinorthis? sp.,suspended organic matter,1
Incorthis sp.,phytoplankton,2
Incorthis sp.,suspended organic matter,1
Nocturnellia sp.,phytoplankton,2
Nocturnellia sp.,suspended organic matter,1
Babinka prima,phytoplankton,2
Babinka prima,bacterioplankton,2
Babinka prima,suspended organic matter,2
Babinka prima,Zooplankton,1
Redonia michelae,phytoplankton,2
Redonia michelae,bacterioplankton,2
Redonia michelae,suspended organic matter,2
Redonia michelae,Zooplankton,1
Pelecyogyra fezouataensis,Benthic detritus,1
Carcassonnella sp.,Benthic detritus,2
Ribeiria cf. personata,phytoplankton,2
Ribeiria cf. personata,suspended organic matter,2
Wiwaxiid,bacterioplankton,1
Wiwaxiid,Benthic detritus,1
Wiwaxiid,Alga type 1,1
Calvapilosa kroegeri,bacterioplankton,1
Calvapilosa kroegeri,Alga type 1,2
Polymeres sp.,Plectorthis simplex,2
Polymeres sp.,Angusticardinia sp.,2
Polymeres sp.,Tarfaya sp.,2
Polymeres sp.,Wosekella maghribi  ,2
Polymeres sp.,Wosekella filiola,2
Polymeres sp.,Celdobolus mirandus,2
Polymeres sp.,Sedlecilingula sp.,1
Polymeres sp.,Lingulella lata?,2
Polymeres sp.,Glossella sp.,2
Polymeres sp.,Rafanoglossa inversa,2
Polymeres sp.,Spondyglossella? sp.,2
Polymeres sp.,Obolidae indet.,2
Polymeres sp.,Orbithele tazagurta,2
