Cons._sp.,Resource_sp.
Zooplankton,phytoplankton
Zooplankton,bacterioplankton
Zooplankton,Zooplankton
leptomitid A,phytoplankton
leptomitid A,bacterioplankton
leptomitid A,suspended organic matter
leptomitid B,phytoplankton
leptomitid B,bacterioplankton
leptomitid B,suspended organic matter
Choia sp.,phytoplankton
Choia sp.,bacterioplankton
Choia sp.,suspended organic matter
Choia sp. B,phytoplankton
Choia sp. B,bacterioplankton
Choia sp. B,suspended organic matter
Choiaella sp.,phytoplankton
Choiaella sp.,bacterioplankton
Choiaella sp.,suspended organic matter
Choiid A,phytoplankton
Choiid A,bacterioplankton
Choiid A,suspended organic matter
Choiid B,phytoplankton
Choiid B,bacterioplankton
Choiid B,suspended organic matter
Choiid C,phytoplankton
Choiid C,bacterioplankton
Choiid C,suspended organic matter
Hamptonia sp.,phytoplankton
Hamptonia sp.,bacterioplankton
Hamptonia sp.,suspended organic matter
Pirania auraeum,phytoplankton
Pirania auraeum,bacterioplankton
Pirania auraeum,suspended organic matter
Pellipirania gloria,phytoplankton
Pellipirania gloria,bacterioplankton
Pellipirania gloria,suspended organic matter
piraniid A,phytoplankton
piraniid A,bacterioplankton
piraniid A,suspended organic matter
hazeliid,phytoplankton
hazeliid,bacterioplankton
hazeliid,suspended organic matter
species ressembling Valospongia,phytoplankton
species ressembling Valospongia,bacterioplankton
species ressembling Valospongia,suspended organic matter
reticulosan A,phytoplankton
reticulosan A,bacterioplankton
reticulosan A,suspended organic matter
reticulosan B,phytoplankton
reticulosan B,bacterioplankton
reticulosan B,suspended organic matter
reticulosan C,phytoplankton
reticulosan C,bacterioplankton
reticulosan C,suspended organic matter
reticulosan D,phytoplankton
reticulosan D,bacterioplankton
reticulosan D,suspended organic matter
reticulosan E,phytoplankton
reticulosan E,bacterioplankton
reticulosan E,suspended organic matter
Archaeoconularia sp.,Zooplankton
Eoconularia sp.,Zooplankton
Sphenothallus sp. 1,Zooplankton
Plectorthis simplex,phytoplankton
Plectorthis simplex,suspended organic matter
Angusticardinia sp.,phytoplankton
Angusticardinia sp.,suspended organic matter
Wosekella sp.,phytoplankton
Wosekella sp.,suspended organic matter
Celdobolus sp.,phytoplankton
Celdobolus sp.,suspended organic matter
Coxiconcha guirandi,phytoplankton
Coxiconcha guirandi,bacterioplankton
Coxiconcha guirandi,suspended organic matter
Coxiconcha guirandi,Zooplankton
Cardiolaria?,Benthic detritus
Cienagomya?,phytoplankton
Cienagomya?,bacterioplankton
Cienagomya?,suspended organic matter
Cienagomya?,Zooplankton
Carcassonnella sp.,Benthic detritus
Wiwaxiid,bacterioplankton
Wiwaxiid,Benthic detritus
Wiwaxiid,Alga type 1
Calvapilosa kroegeri,bacterioplankton
Calvapilosa kroegeri,Alga type 1
Polymeres sp.,Plectorthis simplex
Polymeres sp.,Angusticardinia sp.
Polymeres sp.,Wosekella sp.
Polymeres sp.,Celdobolus sp.
Polymeres sp.,Carcassonnella sp.
Polymeres sp.,Enosiaspis hrungnir
Polymeres sp.,Setapedites abundantis
Polymeres sp.,Tariccoia tazagurtensis
Polymeres sp.,Cheloniellid
Polymeres sp.,Orometopus sp.
Polymeres sp.,Toletanaspis aff. borni
Polymeres sp.,Agerina quadrata
Polymeres sp.,Geragnostus aff. occitanus
Polymeres sp.,Geragnostus sp.
Polymeres sp.,Beltella sp.
Polymeres sp.,Ampyx priscus
Polymeres sp.,Nileus deynouxi
Polymeres sp.,Palaeosphaeronites sp.
Polymeres sp.,Palaeosphaeronites? prokopi
Polymeres sp.,Aristocystites cf. bohemicus (sinuous?)
Polymeres sp.,Balantiocystis regnelli
Polymeres sp.,Rhopalocystis destombesi
Polymeres sp.,Rhopalocystis fraga
Polymeres sp.,Rhopalocystis grandis
Polymeres sp.,Rhopalocystis havliceki
Polymeres sp.,Rhopalocystis zagoraensis
Polymeres sp.,Lingulocystis elongata
Polymeres sp.,cf. Pareocrinus
Polymeres sp.,Eocrinoidea indet. sp. 1
Polymeres sp.,Eocrinoidea indet. sp. 2
Polymeres sp.,Eocrinoidea indet.
Polymeres sp.,Aethocrinus cf. moorei
Polymeres sp.,Rhenopyrgid indet.
Polymeres sp.,Amygdalotheca griffei
Polymeres sp.,Anatifopsis trapeziiformis
Polymeres sp.,Aspidocarpus sp.
Polymeres sp.,Chauvelicystis ubaghsi
Polymeres sp.,Chauvelicystis spinosa
Polymeres sp.,Chauvelicystis vizcainoi
Polymeres sp.,Chauvelicystis sp.
Polymeres sp.,Sokkaejaecystis sp. 1
Polymeres sp.,Sokkaejaecystis sp. 2
Polymeres sp.,"Cornuta n. gen. 1, n. sp."
Polymeres sp.,"Cornuta n. gen. 2, n. sp."
Polymeres sp.,Flabellicarpus rushtoni
Polymeres sp.,Galliaecystis n. sp.
Polymeres sp.,Galliaecystis ubaghsi
Polymeres sp.,Hanusia n. sp.
Polymeres sp.,Lagynocystis pyramidalis
Polymeres sp.,Nanocarpus cf. dolambii
Polymeres sp.,Phyllocystis blayaci
Polymeres sp.,Procothurnocystis n. sp.
Polymeres sp.,Prokopicystis sp.
Polymeres sp.,Bohemiaecystis n. sp.
Polymeres sp.,Vizcainocarpus sp.
Polymeres sp.,Peltocystis cornuta
Polymeres sp.,Macrocystella bohemica
Polymeres sp.,cf. Castericystis
Polymeres sp.,Plasiacystis mobilis
Polymeres sp.,Nimchacystis agterbosi
Polymeres sp.,Clonograptus rigidus
Polymeres sp.,Clonograptus flexibilis
Polymeres sp.,Clonograptus multiplex
Polymeres sp.,"""Didymograptus sp. 1"""
Polymeres sp.,Didymograptid indet.
Polymeres sp.,Dichograptidae?
Polymeres sp.,Hunnegraptus copiosus
Polymeres sp., 'Kiaerograptus' supremus
Polymeres sp.,Koremagraptus sp.
Polymeres sp.,Paradelograptus norvegicus
Polymeres sp.,Paradelograptus tenuis
Polymeres sp.,Paratemnograptus magnificus
Polymeres sp., 'Tetragraptus' bulmani
Polymeres sp.,Tetragraptus sp. (3-stiped)
Polymeres sp.,Sagenograptus murrayi
Polymeres sp.,Anisograptus cf. matanensis
Polymeres sp.,Bryograptus divergens
Polymeres sp.,Bryograptus kjerulfi cumbrensis
Polymeres sp.,Bryograptus lapworthi
Polymeres sp.,Rhabdinopora flabelliforme cf. anglica
Polymeres sp.,Rhabdinopora flabelliforme flabelliforme
Polymeres sp.,Rhabdinopora flabelliforme multithecatum
Polymeres sp.,Rhabdinopora flabelliformis socialis
Polymeres sp.,Rhabdinopora flabelliformis canadenisis
Polymeres sp.,Rhabdinopora flabelliforme norvegicum
Polymeres sp.,Adelograptus tenellus
Polymeres sp.,Choristograptus louai
Polymeres sp.,Ancoragraptus bulmani
Polymeres sp.,Webbyites felix
Polymeres sp.,Rhabdopleura-like epibiont
Polymeres sp.,Drepanoistodus? cf. pervetus
Polymeres sp.,Acodus deltatus
Polymeres sp.,Cornuodus longibasis
Polymeres sp.,Parapaltodus aff. simplicissimus
Polymeres sp.,Paroistodus cf. proteus
Polymeres sp.,Periodon cf. primus
Polymeres sp.,Prioniodus sp.
Polymeres sp.,Protopanderodus cf. leonardii
Polymeres sp.,Scolopodus aff. krummi
Polymeres sp.,Semiacontiodus sp.
Polymeres sp.,Semiacontiodus cf. cornuformis
Polymeres sp.,Tripodus sp.
Plumulites bengtsoni,Benthic detritus
Plumulites bengtsoni,Carcassonnella sp.
Plumulites bengtsoni,Large plumulitid
Plumulites bengtsoni,Setapedites abundantis
Plumulites bengtsoni,Orometopus sp.
Plumulites bengtsoni,"""Didymograptus sp. 1"""
Plumulites bengtsoni,Didymograptid indet.
Plumulites bengtsoni,Koremagraptus sp.
Plumulites bengtsoni,Webbyites felix
Plumulites bengtsoni,Rhabdopleura-like epibiont
Large plumulitid,Benthic detritus
Large plumulitid,Carcassonnella sp.
Large plumulitid,Plumulites bengtsoni
Large plumulitid,Enosiaspis hrungnir
Large plumulitid,Setapedites abundantis
Large plumulitid,Orometopus sp.
Large plumulitid,Geragnostus sp.
Large plumulitid,"""Didymograptus sp. 1"""
Large plumulitid,Didymograptid indet.
Large plumulitid,Koremagraptus sp.
Large plumulitid,Webbyites felix
Large plumulitid,Rhabdopleura-like epibiont
Palaeoscolex cf. tenensis,Benthic detritus
Palaeoscolex cf. tenensis,Plectorthis simplex
