Con. #,Res. #,Certainty
25,1,2
25,2,2
25,25,2
26,2,2
27,2,2
28,2,2
29,2,2
30,2,2
31,2,2
32,2,2
33,2,2
34,2,2
35,2,2
36,2,2
37,2,2
38,2,2
39,2,2
40,2,2
41,2,2
42,2,2
43,2,2
44,2,2
45,2,2
46,2,2
47,2,2
48,2,2
49,2,2
50,2,2
51,2,2
52,2,2
53,2,2
54,2,2
55,2,2
56,2,2
57,2,2
58,2,2
59,25,2
60,25,2
61,25,2
62,25,2
63,25,2
64,25,2
64,59,2
64,60,2
64,61,2
64,62,2
64,63,2
65,3,1
65,25,1
66,5,1
66,6,1
66,7,1
66,8,1
66,9,1
66,10,1
66,11,1
66,12,1
66,13,1
66,14,1
66,15,1
66,16,1
66,17,1
66,18,1
66,19,1
66,20,1
66,21,1
66,22,1
66,23,1
66,24,1
66,25,2
67,4,2
68,4,1
70,4,1
71,4,1
72,2,1
72,4,1
72,7,1
72,8,1
72,9,1
72,10,1
72,11,1
72,12,1
72,13,1
72,14,1
72,15,1
72,16,1
72,17,1
72,19,1
72,20,1
72,21,1
73,25,2
74,25,2
75,25,2
76,25,2
77,25,2
78,25,2
79,26,1
79,27,1
79,28,1
79,29,1
79,30,1
79,31,1
79,32,1
79,33,1
79,34,1
79,35,1
79,36,1
79,37,1
79,38,1
79,39,1
79,40,1
79,41,1
79,42,1
79,43,1
79,44,1
79,45,1
79,46,1
79,47,1
79,48,1
79,49,1
79,50,1
79,51,1
79,52,1
79,53,1
79,54,1
79,55,1
79,56,1
79,57,1
79,58,1
80,26,1
80,27,1
80,28,1
80,29,1
80,30,1
80,31,1
80,32,1
80,33,1
80,34,1
80,35,1
80,36,1
80,37,1
80,38,1
80,39,1
80,40,1
80,41,1
80,42,1
80,43,1
80,44,1
80,45,1
80,46,1
80,47,1
80,48,1
80,49,1
80,50,1
80,51,1
80,52,1
80,53,1
80,54,1
80,55,1
80,56,1
80,57,1
80,58,1
83,25,2
85,4,1
86,4,1
86,65,1
86,66,1
86,67,1
86,68,1
86,70,1
86,71,1
86,83,1
86,142,1
86,143,1
86,146,1
86,153,1
86,162,1
86,166,1
87,4,1
87,65,1
87,66,1
87,67,1
87,68,1
87,70,1
87,71,1
87,83,1
87,142,1
87,143,1
87,146,1
87,153,1
87,162,1
87,166,1
89,65,1
89,66,1
89,67,1
89,68,1
89,70,1
89,71,1
89,83,1
89,142,1
89,143,1
89,146,1
89,153,1
89,162,1
89,166,1
90,4,2
91,4,2
92,25,2
96,65,2
96,66,2
96,67,2
96,68,2
96,70,2
96,71,2
96,83,2
96,142,2
96,143,2
96,146,2
96,153,2
96,162,2
96,166,2
97,1,1
97,4,1
97,25,1
98,4,2
100,65,2
100,67,2
100,68,2
100,70,2
100,71,2
100,79,2
100,80,2
100,83,2
100,98,2
100,143,2
100,144,2
100,145,2
100,146,2
100,162,2
100,166,2
101,65,1
101,66,1
101,67,1
101,68,1
101,70,1
101,71,1
101,83,1
101,142,1
101,143,1
101,146,1
101,153,1
101,162,1
101,166,1
102,65,2
102,66,2
102,67,2
102,68,2
102,70,2
102,71,2
102,83,2
102,142,2
102,143,2
102,146,2
102,153,2
102,162,2
102,166,2
103,65,2
103,66,2
103,67,2
103,68,2
103,70,2
103,71,2
103,83,2
103,142,2
103,143,2
103,146,2
103,153,2
103,162,2
103,166,2
104,25,2
105,65,2
105,66,2
105,67,2
105,68,2
105,70,2
105,71,2
105,83,2
105,85,2
105,86,2
105,87,2
105,89,2
105,90,2
105,91,2
105,92,2
105,96,2
105,98,2
105,100,2
105,101,2
105,102,2
105,103,2
105,105,2
105,107,2
105,111,2
105,112,2
105,113,2
105,114,2
105,115,2
105,116,2
105,117,2
105,118,2
105,119,2
105,120,2
105,121,2
105,122,2
105,123,2
105,126,2
105,127,2
105,128,2
105,129,2
105,130,2
105,131,2
105,132,2
105,133,2
105,138,2
105,139,2
105,142,2
105,143,2
105,146,2
105,147,2
105,148,2
105,149,2
105,150,2
105,151,2
105,153,2
105,162,2
105,166,2
107,65,2
107,66,2
107,67,2
107,68,2
107,70,2
107,71,2
107,83,2
107,85,2
107,86,2
107,87,2
107,89,2
107,90,2
107,91,2
107,92,2
107,96,2
107,98,2
107,100,2
107,101,2
107,102,2
107,103,2
107,105,2
107,107,2
107,111,2
107,112,2
107,113,2
107,114,2
107,115,2
107,116,2
107,117,2
107,118,2
107,119,2
107,120,2
107,121,2
107,122,2
107,123,2
107,126,2
107,127,2
107,128,2
107,129,2
107,130,2
107,131,2
107,132,2
107,133,2
107,138,2
107,139,2
107,142,2
107,143,2
107,146,2
107,147,2
107,148,2
107,149,2
107,150,2
107,151,2
111,65,1
111,66,1
111,67,1
111,68,1
111,70,1
111,71,1
111,83,1
111,142,1
111,143,1
111,146,1
111,153,1
111,162,1
111,166,1
112,65,1
112,66,1
112,67,1
112,68,1
112,70,1
112,71,1
112,83,1
112,142,1
112,143,1
112,146,1
112,153,1
112,162,1
112,166,1
113,65,1
113,66,1
113,67,1
113,68,1
113,70,1
113,71,1
113,83,1
113,142,1
113,143,1
113,146,1
113,153,1
113,162,1
113,166,1
114,65,1
114,66,1
114,67,1
114,68,1
114,70,1
114,71,1
114,83,1
114,142,1
114,143,1
114,146,1
114,153,1
114,162,1
114,166,1
115,65,1
115,66,1
115,67,1
115,68,1
115,70,1
115,71,1
115,83,1
115,142,1
