Con. #,Res. #,Certainty
9,1,3
9,2,3
10,2,2
11,2,2
12,2,2
13,2,2
14,2,2
15,2,2
16,2,2
17,2,2
18,2,2
19,2,2
20,2,2
21,2,2
22,9,1
23,9,1
24,9,2
24,22,1
24,23,1
24,24,1
24,25,1
25,9,2
25,22,1
25,23,1
25,24,1
25,25,1
26,3,1
26,9,1
27,3,1
27,9,1
28,3,1
28,9,1
29,3,1
29,9,1
31,2,2
31,3,1
32,2,2
32,3,1
33,2,2
33,3,1
34,2,2
34,3,1
35,2,2
35,3,1
36,2,2
36,3,1
38,10,1
38,11,1
38,12,1
38,13,1
38,14,1
38,15,1
38,16,1
38,17,1
38,18,1
38,19,1
38,20,1
38,21,1
39,10,1
39,11,1
39,12,1
39,13,1
39,14,1
39,15,1
39,16,1
39,17,1
39,18,1
39,19,1
39,20,1
39,21,1
40,10,1
40,11,1
40,12,1
40,13,1
40,14,1
40,15,1
40,16,1
40,17,1
40,18,1
40,19,1
40,20,1
40,21,1
40,114,1
41,10,1
41,11,1
41,12,1
41,13,1
41,14,1
41,15,1
41,16,1
41,17,1
41,18,1
41,19,1
41,20,1
41,21,1
42,114,2
45,9,2
46,4,2
47,45,1
47,46,1
47,47,2
47,56,1
47,57,2
47,61,1
47,63,2
47,67,2
47,69,1
47,70,1
47,72,1
47,75,1
47,79,2
47,81,2
47,82,2
47,91,1
47,95,1
47,103,1
49,4,1
56,45,1
56,46,1
56,56,1
56,61,1
56,65,1
56,69,1
56,70,1
56,72,1
56,75,1
56,83,1
56,85,1
56,91,1
56,95,1
56,103,1
57,45,1
57,46,1
57,47,2
57,56,1
57,57,2
57,61,1
57,63,2
57,67,2
57,69,1
57,70,1
57,72,1
57,75,1
57,79,2
57,81,2
57,82,2
57,91,1
57,95,1
57,96,3
57,97,3
57,98,3
57,103,1
61,45,1
61,46,1
61,47,2
61,56,1
61,57,2
61,61,1
61,63,2
61,67,2
61,69,1
61,70,1
61,72,1
61,75,1
61,79,2
61,81,2
61,82,2
61,91,1
61,95,1
61,96,3
61,97,3
61,98,3
61,103,1
63,45,1
63,46,1
63,47,2
63,56,1
63,57,2
63,61,1
63,63,2
63,67,2
63,69,1
63,70,1
63,72,1
63,75,1
63,79,2
63,81,2
63,82,2
63,91,1
63,95,1
63,103,1
65,45,1
65,46,1
65,47,2
65,56,1
65,57,2
65,61,1
65,63,2
65,67,2
65,69,1
65,70,1
65,72,1
65,75,1
65,79,2
65,81,2
65,82,2
65,91,1
65,95,1
65,96,3
65,97,3
65,98,3
65,103,1
67,45,1
67,46,1
67,47,2
67,56,1
67,57,2
67,61,1
67,63,2
67,67,2
67,69,1
67,70,1
67,72,1
67,75,1
67,79,2
67,81,2
67,82,2
67,91,1
67,95,1
67,103,1
69,45,1
69,46,1
69,47,2
69,56,1
69,57,2
69,61,1
69,63,2
69,67,2
69,69,1
69,70,1
69,72,1
69,75,1
69,79,2
69,81,2
69,82,2
69,91,1
69,95,1
