CONSUMER;RESOURCE
bacterioplankton;
phytoplankton;
detritus;
SOM;
zooplankton;phytoplankton
zooplankton;bacterioplankton
Thurammina sp.;bacterioplankton
Thurammina sp.;detritus
Forolinia laminaris;bacterioplankton
Tarphystroma tuberosum;bacterioplankton
Ecclimadictyon sp.;bacterioplankton
Camptodictyon penefastigiatum;bacterioplankton
Clathrodictyon sp.;bacterioplankton
Oslodictyon chicum;bacterioplankton
Petridiostroma sp.;bacterioplankton
Intexodictyon laurenticum;bacterioplankton
Pachystroma sp.;bacterioplankton
Forolinia laminaris;SOM
Tarphystroma tuberosum;SOM
Ecclimadictyon sp.;SOM
Camptodictyon penefastigiatum;SOM
Clathrodictyon sp.;SOM
Oslodictyon chicum;SOM
Petridiostroma sp.;SOM
Intexodictyon laurenticum;SOM
Pachystroma sp.;SOM
Forolinia laminaris;phytoplankton
Tarphystroma tuberosum;phytoplankton
Ecclimadictyon sp.;phytoplankton
Camptodictyon penefastigiatum;phytoplankton
Clathrodictyon sp.;phytoplankton
Oslodictyon chicum;phytoplankton
Petridiostroma sp.;phytoplankton
Intexodictyon laurenticum;phytoplankton
Pachystroma sp.;phytoplankton
Schlotheimophyllum canadense;zooplankton
Arachnophyllum pentagonum;zooplankton
Brachyelasma girinense;zooplankton
Fengganophyllum richardsoni;zooplankton
Phaulactis billingsi;zooplankton
Kodonophyllum boltoni;zooplankton
Cladopaliphyllum impensum;zooplankton
Rhegmaphyllum sp.;zooplankton
Helicelasma sp.;zooplankton
Chaloupella pygmaea;zooplankton
Aulopora sp.;zooplankton
Favosites sp.;zooplankton
Palaeofavosites sp.;zooplankton
Halysites sp.;zooplankton
Heliolites sp.;zooplankton
Cyathophyllum sp.;zooplankton
Schlotheimophyllum canadense;bacterioplankton
Arachnophyllum pentagonum;bacterioplankton
Brachyelasma girinense;bacterioplankton
Fengganophyllum richardsoni;bacterioplankton
Phaulactis billingsi;bacterioplankton
Kodonophyllum boltoni;bacterioplankton
Cladopaliphyllum impensum;bacterioplankton
Rhegmaphyllum sp.;bacterioplankton
Helicelasma sp.;bacterioplankton
Chaloupella pygmaea;bacterioplankton
Aulopora sp.;bacterioplankton
Favosites sp.;bacterioplankton
Palaeofavosites sp.;bacterioplankton
Halysites sp.;bacterioplankton
Heliolites sp.;bacterioplankton
Cyathophyllum sp.;bacterioplankton
Schlotheimophyllum canadense;SOM
Arachnophyllum pentagonum;SOM
Brachyelasma girinense;SOM
Fengganophyllum richardsoni;SOM
Phaulactis billingsi;SOM
Kodonophyllum boltoni;SOM
Cladopaliphyllum impensum;SOM
Rhegmaphyllum sp.;SOM
Helicelasma sp.;SOM
Chaloupella pygmaea;SOM
Aulopora sp.;SOM
Favosites sp.;SOM
Palaeofavosites sp.;SOM
Halysites sp.;SOM
Heliolites sp.;SOM
Cyathophyllum sp.;SOM
Aulopora sp.;phytoplankton
Favosites sp.;phytoplankton
Palaeofavosites sp.;phytoplankton
Halysites sp.;phytoplankton
Heliolites sp.;phytoplankton
Ascodictyon siluriense;phytoplankton
Vinella multiradiata;phytoplankton
Helopora sp.;phytoplankton
Phaenopora sp.;phytoplankton
Ptilodictya canadensis;phytoplankton
Pachydictya sp.;phytoplankton
Diploclema sparsum;phytoplankton
Ceramopora sp.;phytoplankton
Chilotrypa circe;phytoplankton
Semicoscinium prestiosum;phytoplankton
Fenestella sp.;phytoplankton
Thamniscus striatopora;phytoplankton
Hallopora sp.;phytoplankton
Lioclemella sp.;phytoplankton
Trematopora irregularis;phytoplankton
Corynotrypa sp.;phytoplankton
Allonema sp.;phytoplankton
Ascodictyon siluriense;SOM
Vinella multiradiata;SOM
Helopora sp.;SOM
Phaenopora sp.;SOM
Ptilodictya canadensis;SOM
Pachydictya sp.;SOM
Diploclema sparsum;SOM
Ceramopora sp.;SOM
Chilotrypa circe;SOM
Semicoscinium prestiosum;SOM
Fenestella sp.;SOM
Thamniscus striatopora;SOM
Hallopora sp.;SOM
Lioclemella sp.;SOM
Trematopora irregularis;SOM
Corynotrypa sp.;SOM
Allonema sp.;SOM
Modiolopsis miser;phytoplankton
Mytilarca nitida;phytoplankton
Pterinea sp.;phytoplankton
Ctenodonta sp.;phytoplankton
Modiolopsis miser;SOM
Mytilarca nitida;SOM
Pterinea sp.;SOM
Ctenodonta sp.;detritus
Conocardium elegantulum;phytoplankton
Conocardium elegantulum;SOM
Aechmina sp.;detritus
Paraechmina sp.;detritus
Libumella sp.;detritus
Ulrichia sp.;detritus
Cryptophyllus sp.;detritus
Anticostiella sp.;detritus
Gibberella brickensis;detritus
Herrmannina sp.;detritus
Zygobolba sp.;detritus
Jupiterella jupiterensis;detritus
Apatobolbina sp.;detritus
Cyrtocyprus inornata;detritus
Thrallella sp.;detritus
Bairdiocypris sp.;detritus
Punctobeecherella punctata;detritus
Punctomosea sp.;detritus
Menoeidina lavoiei;detritus
Microcheilinella sp.;detritus
Pachydomella sp.;detritus
Conbathella inornata;detritus
Paraschmidtella irregularis;detritus
Bairdiocypris sp.;bacterioplankton
Microcheilinella sp.;bacterioplankton
Pachydomella sp.;bacterioplankton
Conbathella inornata;bacterioplankton
Paraschmidtella irregularis;bacterioplankton
Coolinia sp.;phytoplankton
Brachyprion sp.;phytoplankton
Hyattidina junia;phytoplankton
Eomegastrophia philomena;phytoplankton
Clorinda tumidula;phytoplankton
Gotatrypa sp.;phytoplankton
Strophoprion geniculatum;phytoplankton
Leptaena sp.;phytoplankton
Katastrophomena radiireticulata;phytoplankton
Visbyella concavoconvexa;phytoplankton
Heterorthina cybele;phytoplankton
Glyptorthis marilara;phytoplankton
Jupiterella eumorpha;phytoplankton
Dalejina junonis;phytoplankton
Dicoelosia dauphinensis;phytoplankton
Ehlersella davidsonii;phytoplankton
Microcardinalia divaricata;phytoplankton
Zygatrypa mica;phytoplankton
Lissatrypa atheroidea;phytoplankton
Levenea sp.;phytoplankton
Parastrophinella sp.;phytoplankton
Pentamerus sp.;phytoplankton
Costistricklandia sp.;phytoplankton
Stricklandia sp.;phytoplankton
Linguopugnoides cybelense;phytoplankton
Phoenicitoechia martinensis;phytoplankton
Eocoelia sp.;phytoplankton
Platytrochalos sp.;phytoplankton
Stegerhynchus sp.;phytoplankton
Ancillotoechia eva;phytoplankton
