network,type,Top,Bas,Int,Can,Herb,Omn,Loop,ChLen,ChSD,ChNum,TL,MxSim,VulSD,GenSD,LinkSD,Path,Clust,,,,,,,,,,,,,,,,,,,,
fezouata,empirical,0.125603865,0.048309179,0.826086957,0.082125604,0.400966184,0.531400966,0.082125604,1.586466165,0.494328739,2.123851641,2.429541607,0.91969609,0.452921351,0.786182045,0.745417387,1.431349139,0.315209833,,,,,,,,,,,,,,,,,,,,
fezouata trophic species,empirical,0.141509434,0.094339623,0.764150943,0.047169811,0.358490566,0.518867925,0.047169811,1.64516129,0.481057741,1.968482949,2.431192867,0.794758754,0.437002879,0.673504953,0.608992405,1.297186701,0.253572524,,,Moyennes,Top,Bas,Int,Can,Herb,Omn,Loop,ChLen,ChSD,ChNum,TL,MxSim,VulSD,GenSD,LinkSD,Path,Clust
fezouata,niche model,0,0.077294686,0.922705314,0.096618357,0.024154589,0.845410628,0.072463768,NaN,NaN,,4.389061082,0.743036961,0.275503865,0.56529309,0.506221974,1.803737575,0.319816594,,sp,empirical,0.125603865,0.048309179,0.826086957,0.082125604,0.400966184,0.531400966,0.082125604,1.586466165,0.494328739,2.123851641,2.429541607,0.91969609,0.452921351,0.786182045,0.745417387,1.431349139,0.315209833
fezouata,niche model,0,0.057971014,0.942028986,0.106280193,0.038647343,0.845410628,0.06763285,NaN,NaN,,4.189623559,0.734228387,0.292293487,0.518650912,0.470224506,1.759450172,0.288864724,,troph,empirical,0.141509434,0.094339623,0.764150943,0.047169811,0.358490566,0.518867925,0.047169811,1.64516129,0.481057741,1.968482949,2.431192867,0.794758754,0.437002879,0.673504953,0.608992405,1.297186701,0.253572524
fezouata,niche model,0,0.062801932,0.937198068,0.115942029,0.048309179,0.850241546,0.149758454,NaN,NaN,,4.201867358,0.718290618,0.283787529,0.573121189,0.518893017,1.846344952,0.322488573,,sp,Niche,0.006761533,0.081985307,0.91125316,0.109557298,0.030894801,0.840237256,0.132193367,2.048641317,0.519943896,1.614348921,4.202486431,0.729807083,0.273537595,0.561064208,0.51859054,1.853742456,0.326260301
fezouata,niche model,0,0.09178744,0.90821256,0.09178744,0.019323671,0.850241546,0.111111111,2.105263158,0.737468406,1.278753601,4.200619113,0.738439354,0.29067635,0.560680035,0.533819843,1.795587804,0.322576392,,troph,niche,0.010430215,0.101002737,0.888567048,0.157141177,0.038910227,0.80551779,0.175950106,1.962918549,0.539470878,1.311966644,3.920065011,0.721933604,0.271336768,0.533261274,0.497726227,1.771693545,0.424475042
fezouata,niche model,0.072463768,0.06763285,0.859903382,0.096618357,0.028985507,0.859903382,0.140096618,2,0.43188945,2.28780173,3.993441621,0.717466503,0.237451583,0.55267936,0.484033017,1.839329893,0.330206113,,sp,cascade,0.0262657,0.025681159,0.94805314,0,0.019584541,0.940202899,0,1.815470644,0.381449696,1.42191294,4.652610653,0.212181958,0.308315047,0.30861811,0.14610742,1.919296867,0.184300341
fezouata,niche model,0.063106796,0.072815534,0.86407767,0.111650485,0.038834951,0.844660194,0.121359223,1.906832298,0.54544984,2.206825876,4.085444938,0.741523724,0.283828975,0.540747119,0.475097972,1.792748092,0.325235826,,troph,cascade,0.037518868,0.037537736,0.924943396,0,0.028830189,0.914103774,0,1.745697619,0.425760078,1.144391803,4.254997988,0.283937257,0.315761124,0.315752982,0.167297381,1.809205835,0.252431191
fezouata,niche model,0,0.057971014,0.942028986,0.125603865,0.019323671,0.84057971,0.096618357,NaN,NaN,,5.069776396,0.728198231,0.202782148,0.523955099,0.47069338,1.840061141,0.352686828,,sp,nested,0.106450964,0.013198302,0.880350734,0.059623634,0.01540113,0.95684004,0.82464005,1.860154954,0.443540588,1.65072202,7.020708185,0.628138006,0.338927847,0.28874944,0.318996772,2.363571177,0.203211813
fezouata,niche model,0,0.062801932,0.937198068,0.09178744,0.024154589,0.869565217,0.082125604,NaN,NaN,,5.019730829,0.697893767,0.306797735,0.548257194,0.521974948,1.886732887,0.302292565,,troph,nested,0.106066038,0.020056604,0.873877358,0.080443396,0.022924528,0.93809434,0.787113208,1.773354251,0.465690861,1.292581277,6.119263134,0.652850713,0.348329723,0.289886074,0.325428516,2.33204594,0.276178205
