,Top,Bas,Int,Can,Herb,Omn,Loop,ChLen,ChSD,ChNum,TL,MxSim,VulSD,GenSD,LinkSD,Path,Clust,network
,,,,,,,,,,,,,,,,,,
sp,-0.946167793,0.697095856,0.10309593,0.334021217,-0.92294911,0.581173746,0.609648645,-0.594524366,-0.677091855,-0.761327227,0.729744582,-0.206469299,-0.396059395,-0.286343142,-0.304295085,0.295101527,0.0350575,
troph,-0.92629315,0.070629017,0.162816137,2.331392951,-0.891460945,0.552452469,2.730142253,-0.574046675,-0.613107872,-0.76206444,0.612403962,-0.091631769,-0.379096154,-0.208229617,-0.182705363,0.365796877,0.673978845,
,,,,,,,,,,,,,,,,,,
,-1,0.6,0.116959064,0.176470588,-0.939759036,0.590909091,-0.117647059,-1,-1,-1,0.80653876,-0.192084245,-0.39171809,-0.280964131,-0.320887891,0.260166039,0.014614904,fezouata
,-1,0.2,0.140350877,0.294117647,-0.903614458,0.590909091,-0.176470588,-1,-1,-1,0.72445022,-0.201661945,-0.354648469,-0.340291584,-0.369179584,0.229225019,-0.083579592,fezouata
,-1,0.3,0.134502924,0.411764706,-0.879518072,0.6,0.823529412,-1,-1,-1,0.729489771,-0.218991332,-0.373428679,-0.271007024,-0.303889303,0.289933324,0.023091728,fezouata
,-1,0.9,0.099415205,0.117647059,-0.951807229,0.6,0.352941176,0.327014218,0.491858246,-0.397908227,0.728975993,-0.197083296,-0.358218929,-0.286831799,-0.283864513,0.254472271,0.023370334,fezouata
,-0.423076923,0.4,0.040935673,0.176470588,-0.927710843,0.618181818,0.705882353,0.260663507,-0.126311266,0.077194699,0.64370168,-0.219887405,-0.475733298,-0.297008418,-0.350655048,0.285032312,0.047575548,fezouata
,-0.497572816,0.507281553,0.045988758,0.359508852,-0.903146567,0.589496911,0.477727013,0.201936946,0.103415191,0.039067811,0.681570271,-0.193729611,-0.373337171,-0.312185871,-0.362641682,0.252488329,0.031807362,fezouata
,-1,0.2,0.140350877,0.529411765,-0.951807229,0.581818182,0.176470588,-1,-1,-1,1.086721372,-0.208218629,-0.552279558,-0.333544817,-0.368550575,0.285543192,0.118895386,fezouata
,-1,0.3,0.134502924,0.117647059,-0.939759036,0.636363636,0,-1,-1,-1,1.066122603,-0.241169149,-0.322624702,-0.302633281,-0.299754798,0.318150014,-0.040979903,fezouata
,-1,1.3,0.076023392,0.235294118,-0.939759036,0.518181818,0.705882353,-1,-1,-1,0.558233887,-0.213360087,-0.425012562,-0.236242112,-0.236634538,0.324359532,0.004317958,fezouata
,-1,1.2,0.081871345,0.647058824,-0.939759036,0.563636364,0.882352941,0.28931495,-0.017400811,-0.367930106,0.864619076,-0.240605347,-0.286182715,-0.30669357,-0.26879961,0.430244828,-0.002018399,fezouata
,-1,0.211707317,0.139666239,0.128550933,-0.963502792,0.633968958,-0.346628407,0.260663507,0.219881916,-0.491875409,0.872433337,-0.214437727,-0.42840826,-0.238500163,-0.281315451,0.25321735,-0.029151515,fezouata
,-1,0.3,0.134502924,0.235294118,-0.939759036,0.590909091,0.235294118,-1,-1,-1,1.170284277,-0.212158363,-0.443567217,-0.201592302,-0.235493476,0.316834485,-0.0117998,fezouata
,-1,1,0.093567251,0.117647059,-0.879518072,0.509090909,1,0.260663507,-0.343669877,-0.387419549,0.657863527,-0.209190762,-0.406333479,-0.276931893,-0.291386101,0.343522568,-0.019460074,fezouata
,-1,1.4,0.070175439,0,-0.975903614,0.545454545,-0.235294118,0.134597156,-0.174136039,-0.341790179,0.623829316,-0.20144055,-0.227703564,-0.229414652,-0.260175451,0.317610904,-0.1104461,fezouata
,-1,0.7,0.111111111,0.529411765,-0.795180723,0.527272727,0.588235294,0.40073723,0.308363475,-0.408964129,0.501555045,-0.195808472,-0.37435822,-0.310482434,-0.317770337,0.28892543,-0.005917228,fezouata
,-1,0.2,0.140350877,0.411764706,-0.951807229,0.618181818,0.647058824,-1,-1,-1,0.711844093,-0.180168717,-0.434759837,-0.273828464,-0.330111397,0.236802278,0.055093878,fezouata
,-1,0.4,0.128654971,0.705882353,-0.951807229,0.636363636,0.823529412,-1,-1,-1,0.959488201,-0.203496735,-0.364924822,-0.26201307,-0.295710591,0.294976541,0.097216817,fezouata
,-1,0.507281553,0.122381196,0.004854369,-0.951573283,0.653442189,-0.172472873,-1,-1,-1,0.968823619,-0.230938862,-0.352392086,-0.370088642,-0.362791501,0.281303314,-0.087429002,fezouata
,-1,1.2,0.081871345,0.470588235,-0.903614458,0.490909091,0.411764706,-1,-1,-1,0.526693437,-0.195562227,-0.312547792,-0.298892558,-0.326819591,0.257340472,0.009369725,fezouata
,-1,1.612621359,0.057741441,0.063963449,-0.939466604,0.507281553,0.359508852,0.190626646,-0.142960465,-0.326052848,0.427904989,-0.213612288,-0.44123747,-0.267667197,-0.295117462,0.263520138,0.046643311,fezouata
,-1,0.6,0.116959064,0.058823529,-0.903614458,0.590909091,-0.058823529,-1,-1,-1,0.653385604,-0.232938534,-0.312855714,-0.293865147,-0.322802155,0.291669516,-0.152432248,fezouata
,-0.961538462,1.1,0.081871345,0.411764706,-0.987951807,0.609090909,1,0.110584518,-0.117114289,-0.377442723,0.758042626,-0.197803731,-0.365372356,-0.311438109,-0.324930356,0.279072855,0.076741231,fezouata
,-1,0.909223301,0.09887583,0.359508852,-0.939466604,0.562091792,0.714163335,0.327014218,-0.071809038,-0.397908227,0.984408442,-0.230051691,-0.445230965,-0.282143044,-0.305278249,0.305766052,0.044829253,fezouata
,-1,0.6,0.116959064,-0.176470588,-0.939759036,0.518181818,-0.352941176,-1,-1,-1,0.967199027,-0.235945284,-0.380060539,-0.234431571,-0.230411301,0.307594525,0.011601193,fezouata
,-1,1.2,0.081871345,0.176470588,-0.86746988,0.509090909,0.235294118,-1,-1,-1,0.463536677,-0.183937701,-0.22247634,-0.293415447,-0.295476703,0.257425266,0.009875012,fezouata
,-1,1.3,0.076023392,-0.235294118,-0.963855422,0.436363636,1.411764706,-1,-1,-1,0.593210336,-0.208120902,-0.434605496,-0.171147434,-0.17642378,0.441258128,0.062402096,fezouata
,-1,0.7,0.111111111,0.470588235,-0.951807229,0.545454545,1.411764706,-1,-1,-1,0.740542582,-0.180959978,-0.533579376,-0.195704082,-0.211226683,0.322862165,0.206114083,fezouata
,-1,1.1,0.087719298,0.352941176,-0.843373494,0.490909091,0.235294118,-1,-1,-1,0.585758558,-0.197656428,-0.493872807,-0.323760394,-0.389263987,0.223446797,-0.098256377,fezouata
,-1,1,0.093567251,0.235294118,-0.891566265,0.545454545,0.235294118,-1,-1,-1,0.650170685,-0.204147335,-0.303229619,-0.288609469,-0.285126519,0.289299926,-0.028315663,fezouata
,-0.846153846,1.5,0.040935673,-0.058823529,-0.939759036,0.554545455,-0.235294118,0.2175639,-0.261651448,-0.026209825,0.409358954,-0.212907504,-0.320921458,-0.280775052,-0.311522344,0.256880792,-0.249364605,fezouata
,-1,1.3,0.076023392,0.588235294,-0.843373494,0.518181818,0.705882353,-1,-1,-1,0.52592801,-0.241410294,-0.465512218,-0.330968475,-0.327653563,0.30632906,-0.017521443,fezouata
,-1,0.8,0.105263158,0.705882353,-0.963855422,0.609090909,0.529411765,-1,-1,-1,0.958879486,-0.209955774,-0.492122218,-0.291917218,-0.318925006,0.308903114,0.050214199,fezouata
,-1,0.105339806,0.145886561,0.182181611,-0.951573283,0.60776699,0.418617933,-1,-1,-1,1.051796424,-0.201811845,-0.333619563,-0.202209413,-0.220329974,0.268111482,0.088928672,fezouata
,-1,0.7,0.111111111,0.529411765,-0.915662651,0.581818182,0.411764706,0.149428492,-0.205078336,-0.420652131,0.789944202,-0.189549886,-0.339627523,-0.239500336,-0.272999849,0.255532867,0.056479561,fezouata
,-0.884615385,0.5,0.105263158,-0.352941176,-0.903614458,0.6,-0.117647059,0.244905213,-0.680144263,-0.245681779,0.629423576,-0.205350751,-0.322533739,-0.383136604,-0.391608755,0.248241008,-0.146361655,fezouata
,-1,0.8,0.105263158,0.411764706,-0.927710843,0.627272727,1.529411765,-1,-1,-1,0.708858653,-0.169997302,-0.246100154,-0.291732927,-0.301753631,0.327919981,0.073575633,fezouata
,-1,0.8,0.105263158,0,-0.987951807,0.581818182,0,-1,-1,-1,0.784541403,-0.209342837,-0.427656906,-0.252359308,-0.249991866,0.305868476,-0.000231139,fezouata
,-0.961538462,0.6,0.111111111,0.529411765,-0.939759036,0.545454545,2,-0.369668246,-1,-1,0.845390412,-0.219621789,-0.310850607,-0.17558414,-0.152428632,0.44018217,0.189224962,fezouata
,-0.5,0.7,0.035087719,0.176470588,-0.951807229,0.590909091,0.235294118,0.536808847,0.700568944,0.093399958,0.748253212,-0.211082669,-0.272677339,-0.321156686,-0.314508109,0.281019277,-0.134335966,fezouata
,-1,0.7,0.111111111,0.294117647,-0.927710843,0.581818182,0.470588235,-1,-1,-1,0.637085217,-0.207116146,-0.436257262,-0.30581471,-0.322083535,0.298475319,0.042674672,fezouata
